Date,nom_ar,nom_fr,unite,valeur
2025-10-24 07:00:00,L'humidité du sol,L'humidité du sol,mV,343.0
2025-10-24 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,-1.8
2025-10-24 07:00:00,Température,Température,°C,16.9
2025-10-24 06:00:00,L'humidité du sol,L'humidité du sol,mV,342.7
2025-10-24 06:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,-1.8
2025-10-24 06:00:00,Température,Température,°C,17.0
2025-10-24 05:00:00,L'humidité du sol,L'humidité du sol,mV,341.8
2025-10-24 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,-1.8
2025-10-24 05:00:00,Température,Température,°C,16.5
2025-10-24 04:00:00,L'humidité du sol,L'humidité du sol,mV,341.4
2025-10-24 04:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,-1.8
2025-10-24 04:00:00,Température,Température,°C,16.8
2025-10-24 03:00:00,L'humidité du sol,L'humidité du sol,mV,342.0
2025-10-24 03:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,-1.8
2025-10-24 03:00:00,Température,Température,°C,17.7
2025-10-24 02:00:00,L'humidité du sol,L'humidité du sol,mV,342.8
2025-10-24 02:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,-1.8
2025-10-24 02:00:00,Température,Température,°C,18.3
2025-10-24 01:00:00,L'humidité du sol,L'humidité du sol,mV,343.5
2025-10-24 01:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,-1.8
2025-10-24 01:00:00,Température,Température,°C,18.3
2025-10-24 00:00:00,L'humidité du sol,L'humidité du sol,mV,335.7
2025-10-24 00:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,-1.9
2025-10-24 00:00:00,Température,Température,°C,19.0
