Date,Gouvernorat,Tete
1993,Tunis,800
1993,Mahdia,890
1993,Ariana,6180
1993,Sousse,7670
1993,Ben Arous,13070
1993,Monastir,19410
1993,Tozeur,32100
1993,Siliana,35450
1993,Béja,35500
1993,Zaghouan,43950
1993,Sidi Bouzid,45100
1993,Gafsa,54620
1993,Bizerte,57300
1993,Sfax,72280
1993,Kairouan,77030
1993,Jendouba,81670
1993,Kef,83000
1993,Nabeul,84000
1993,Kébili,89500
1993,Tatouine,98610
1993,Kasserine,100710
1993,Medenine,174120
1993,Gabès,203820
1994,Tunis,600
1994,Monastir,2500
1994,Ariana,4200
1994,Sousse,7300
1994,Ben Arous,15500
1994,Zaghouan,27900
1994,Tozeur,30000
1994,Mahdia,32400
1994,Béja,42500
1994,Nabeul,44000
1994,Sidi Bouzid,45000
1994,Sfax,50700
1994,Kef,54100
1994,Gafsa,54500
1994,Kébili,55000
1994,Kasserine,65400
1994,Kairouan,67800
1994,Bizerte,78500
1994,Siliana,80000
1994,Jendouba,81500
1994,Gabès,168100
1994,Tatouine,169800
1994,Medenine,174000
1996,Tunis,800
1996,Ariana,4490
1996,Monastir,8730
1996,Sousse,8900
1996,Ben Arous,10710
1996,Zaghouan,21630
1996,Mahdia,25400
1996,Tozeur,32200
1996,Béja,32880
1996,Siliana,42230
1996,Kef,42480
1996,Nabeul,44000
1996,Sfax,47100
1996,Jendouba,50000
1996,Kairouan,52120
1996,Kébili,57900
1996,Gafsa,65590
1996,Kasserine,73990
1996,Bizerte,84240
1996,Sidi Bouzid,158630
1996,Gabès,176270
1996,Medenine,177900
1996,Tatouine,250000
1998,Tunis,620
1998,Monastir,4150
1998,Sousse,8900
1998,Ariana,9840
1998,Ben Arous,12010
1998,Mahdia,20100
1998,Zaghouan,24450
1998,Béja,28580
1998,Tozeur,30500
1998,Kef,43440
1998,Jendouba,45010
1998,Nabeul,49770
1998,Siliana,50530
1998,Kairouan,50780
1998,Gafsa,56850
1998,Sfax,58400
1998,Kébili,60000
1998,Bizerte,70820
1998,Kasserine,76010
1998,Sidi Bouzid,108000
1998,Tatouine,110510
1998,Gabès,122320
1998,Medenine,190730
1999,Tunis,540
1999,Monastir,3090
1999,Sousse,8880
1999,Mahdia,10000
1999,Ariana,10160
1999,Ben Arous,11340
1999,Tozeur,30000
1999,Zaghouan,32310
1999,Béja,36100
1999,Kef,43940
1999,Jendouba,47240
1999,Kairouan,49480
1999,Nabeul,51340
1999,Gafsa,56860
1999,Siliana,66090
1999,Bizerte,68640
1999,Sfax,69860
1999,Kasserine,70350
1999,Sidi Bouzid,107790
1999,Tatouine,113160
1999,Kébili,114630
1999,Gabès,119560
1999,Medenine,193230
2000,Tunis,480
2000,Monastir,3010
2000,Sousse,8490
2000,Mahdia,9430
2000,Ariana,10980
2000,Ben Arous,11340
2000,Tozeur,30000
2000,Zaghouan,35770
2000,Kef,44650
2000,Kairouan,44720
2000,Jendouba,48840
2000,Béja,51890
2000,Nabeul,55580
2000,Gafsa,60300
2000,Sfax,65940
2000,Bizerte,68030
2000,Siliana,70030
2000,Kasserine,90570
2000,Sidi Bouzid,105540
2000,Gabès,125910
2000,Kébili,128930
2000,Medenine,188390
2000,Tatouine,188770
2001,Tunis,470
2001,Ariana,2900
2001,Monastir,3030
2001,Manouba,6650
2001,Sousse,8250
2001,Mahdia,9320
2001,Ben Arous,11340
2001,Tozeur,30500
2001,Zaghouan,32980
2001,Kairouan,42210
2001,Kef,45960
2001,Jendouba,52050
2001,Béja,53160
2001,Sfax,56500
2001,Nabeul,56790
2001,Gafsa,60300
2001,Bizerte,66840
2001,Siliana,69630
2001,Kasserine,94640
2001,Sidi Bouzid,103300
2001,Kébili,128930
2001,Gabès,130000
2001,Tatouine,191350
2001,Medenine,192990
2002,Tunis,520
2002,Ariana,1660
2002,Monastir,3160
2002,Sousse,7850
2002,Manouba,8190
2002,Mahdia,10100
2002,Ben Arous,11370
2002,Tozeur,31000
2002,Zaghouan,34120
