Date,nom_ar,nom_fr,unite,valeur
2025-11-25 21:00:00,L'humidité du sol,L'humidité du sol,mV,808.6
2025-11-25 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,20.5
2025-11-25 21:00:00,Température,Température,°C,12.4
2025-11-25 20:00:00,Température,Température,°C,12.4
2025-11-25 20:00:00,L'humidité du sol,L'humidité du sol,mV,808.7
2025-11-25 20:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,20.5
2025-11-25 18:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,20.5
2025-11-25 18:00:00,L'humidité du sol,L'humidité du sol,mV,808.6
2025-11-25 18:00:00,Température,Température,°C,12.2
2025-11-25 16:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,20.5
2025-11-25 16:00:00,L'humidité du sol,L'humidité du sol,mV,809.0
2025-11-25 16:00:00,Température,Température,°C,12.2
2025-11-25 14:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,20.5
2025-11-25 14:00:00,L'humidité du sol,L'humidité du sol,mV,808.9
2025-11-25 14:00:00,Température,Température,°C,12.1
2025-11-25 12:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,20.5
2025-11-25 12:00:00,L'humidité du sol,L'humidité du sol,mV,808.9
2025-11-25 12:00:00,Température,Température,°C,12.1
2025-11-25 10:00:00,Température,Température,°C,12.1
2025-11-25 10:00:00,L'humidité du sol,L'humidité du sol,mV,809.1
2025-11-25 10:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,20.5
2025-11-25 09:00:00,L'humidité du sol,L'humidité du sol,mV,808.6
2025-11-25 09:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,20.5
2025-11-25 09:00:00,Température,Température,°C,12.1
2025-11-25 08:00:00,Température,Température,°C,12.1
2025-11-25 08:00:00,L'humidité du sol,L'humidité du sol,mV,808.7
2025-11-25 08:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,20.5
2025-11-25 07:00:00,Température,Température,°C,12.1
2025-11-25 07:00:00,L'humidité du sol,L'humidité du sol,mV,808.9
2025-11-25 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,20.5
2025-11-25 06:00:00,Température,Température,°C,12.1
2025-11-25 06:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,20.5
2025-11-25 06:00:00,L'humidité du sol,L'humidité du sol,mV,808.8
2025-11-25 02:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,20.5
2025-11-25 02:00:00,L'humidité du sol,L'humidité du sol,mV,809.2
2025-11-25 02:00:00,Température,Température,°C,12.1
2025-11-25 00:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,20.5
2025-11-25 00:00:00,L'humidité du sol,L'humidité du sol,mV,809.0
2025-11-25 00:00:00,Température,Température,°C,12.1
2025-11-24 22:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,20.5
2025-11-24 22:00:00,L'humidité du sol,L'humidité du sol,mV,809.2
2025-11-24 22:00:00,Température,Température,°C,12.0
2025-11-24 20:00:00,Température,Température,°C,12.0
2025-11-24 20:00:00,L'humidité du sol,L'humidité du sol,mV,808.7
2025-11-24 20:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,20.5
2025-11-24 19:00:00,L'humidité du sol,L'humidité du sol,mV,808.7
2025-11-24 19:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,20.5
2025-11-24 19:00:00,Température,Température,°C,11.9
2025-11-24 18:00:00,Température,Température,°C,11.9
2025-11-24 18:00:00,L'humidité du sol,L'humidité du sol,mV,808.9
2025-11-24 18:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,20.5
2025-11-24 16:00:00,Température,Température,°C,11.8
2025-11-24 16:00:00,L'humidité du sol,L'humidité du sol,mV,808.9
2025-11-24 16:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,20.5
2025-11-24 14:00:00,Température,Température,°C,11.8
2025-11-24 14:00:00,L'humidité du sol,L'humidité du sol,mV,808.8
2025-11-24 14:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,20.5
2025-11-24 12:00:00,Température,Température,°C,11.9
2025-11-24 12:00:00,L'humidité du sol,L'humidité du sol,mV,809.0
2025-11-24 12:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,20.5
2025-11-24 10:00:00,L'humidité du sol,L'humidité du sol,mV,809.1
2025-11-24 10:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,20.5
2025-11-24 10:00:00,Température,Température,°C,11.9
2025-11-24 09:00:00,Température,Température,°C,12.0
2025-11-24 09:00:00,L'humidité du sol,L'humidité du sol,mV,809.4
