Date,nom_ar,nom_fr,unite,valeur
2025-10-24 07:00:00,Température,Température,°C,20.3
2025-10-24 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,23.9
2025-10-24 07:00:00,L'humidité du sol,L'humidité du sol,mV,844.8
2025-10-24 06:00:00,Température,Température,°C,20.4
2025-10-24 06:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,23.9
2025-10-24 06:00:00,L'humidité du sol,L'humidité du sol,mV,845.4
2025-10-24 05:00:00,Température,Température,°C,20.4
2025-10-24 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,24.0
2025-10-24 05:00:00,L'humidité du sol,L'humidité du sol,mV,845.7
2025-10-24 04:00:00,Température,Température,°C,20.4
2025-10-24 04:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,24.0
2025-10-24 04:00:00,L'humidité du sol,L'humidité du sol,mV,845.7
2025-10-24 03:00:00,Température,Température,°C,20.5
2025-10-24 03:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,24.0
2025-10-24 03:00:00,L'humidité du sol,L'humidité du sol,mV,846.3
2025-10-24 02:00:00,Température,Température,°C,20.5
2025-10-24 02:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,24.1
2025-10-24 02:00:00,L'humidité du sol,L'humidité du sol,mV,846.7
2025-10-24 01:00:00,Température,Température,°C,20.5
2025-10-24 01:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,24.1
2025-10-24 01:00:00,L'humidité du sol,L'humidité du sol,mV,846.6
2025-10-24 00:00:00,Température,Température,°C,20.5
2025-10-24 00:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,24.1
2025-10-24 00:00:00,L'humidité du sol,L'humidité du sol,mV,847.1
