Date,nom_ar,nom_fr,unite,valeur
2025-11-25 21:00:00,L'humidité du sol,L'humidité du sol,mV,534.2
2025-11-25 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.0
2025-11-25 21:00:00,Température,Température,°c,15.9
2025-11-25 20:00:00,Température,Température,°c,15.9
2025-11-25 20:00:00,L'humidité du sol,L'humidité du sol,mV,534.4
2025-11-25 20:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.0
2025-11-25 19:00:00,Température,Température,°c,15.8
2025-11-25 19:00:00,L'humidité du sol,L'humidité du sol,mV,534.4
2025-11-25 19:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.0
2025-11-25 18:00:00,Température,Température,°c,15.7
2025-11-25 18:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,5.9
2025-11-25 18:00:00,L'humidité du sol,L'humidité du sol,mV,534.0
2025-11-25 16:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,5.9
2025-11-25 16:00:00,L'humidité du sol,L'humidité du sol,mV,533.6
2025-11-25 16:00:00,Température,Température,°c,15.2
2025-11-25 15:00:00,Température,Température,°c,14.8
2025-11-25 15:00:00,L'humidité du sol,L'humidité du sol,mV,533.1
2025-11-25 15:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,5.9
2025-11-25 14:00:00,Température,Température,°c,14.2
2025-11-25 14:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,5.9
2025-11-25 14:00:00,L'humidité du sol,L'humidité du sol,mV,532.7
2025-11-25 12:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,5.9
2025-11-25 12:00:00,L'humidité du sol,L'humidité du sol,mV,532.2
2025-11-25 12:00:00,Température,Température,°c,13.5
2025-11-25 10:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,5.9
2025-11-25 10:00:00,L'humidité du sol,L'humidité du sol,mV,531.9
2025-11-25 10:00:00,Température,Température,°c,13.4
2025-11-25 09:00:00,Température,Température,°c,13.4
2025-11-25 09:00:00,L'humidité du sol,L'humidité du sol,mV,531.9
