mois,station,nombre_jours_pluvieux,precipitations_en_millimetres
Septembre,Manoubia,6,"47,5"
Septembre,CRDA Bouchoucha,6,75
Septembre,Tunis Carthage,6,"97,4"
Septembre,Pepiniere Gammarth,6,"70,5"
Septembre,Belvedere,5,"98,9"
Septembre,Sidi Hassine,5,"24,8"
Septembre,SMVDA El Attar,2,"36,2"
Septembre,SMVDA Borj Chakir,5,"24,5"
Septembre,El Hrayria,6,"40,5"
Septembre,Pepiniere El Agba,6,41
Octobre,Manoubia,7,"106,1"
Octobre,CRDA Bouchoucha,8,156
Octobre,Tunis Carthage,7,"136,4"
Octobre,Pepiniere Gammarth,7,"87,5"
Octobre,Belvedere,5,"147,8"
Octobre,Sidi Hassine,4,"143,5"
Octobre,SMVDA El Attar,3,"124,8"
Octobre,SMVDA Borj Chakir,8,125
Octobre,El Hrayria,7,141
Octobre,Pepiniere El Agba,6,"123,5"
Novembre,Manoubia,4,"7,4"
Novembre,CRDA Bouchoucha,5,"11,5"
Novembre,Tunis Carthage,5,"15,3"
Novembre,Pepiniere Gammarth,4,17
Novembre,Belvedere,5,"9,4"
Novembre,Sidi Hassine,3,"5,5"
Novembre,SMVDA El Attar,4,"25,8"
Novembre,SMVDA Borj Chakir,9,"21,5"
Novembre,El Hrayria,4,"12,9"
Novembre,Pepiniere El Agba,5,"13,5"
Decembre,Manoubia,2,24
Decembre,CRDA Bouchoucha,3,"35,5"
Decembre,Tunis Carthage,2,"16,4"
Decembre,Pepiniere Gammarth,2,42
Decembre,Belvedere,3,"24,8"
Decembre,Sidi Hassine,3,"40,7"
Decembre,SMVDA El Attar,3,95
Decembre,SMVDA Borj Chakir,5,43
Decembre,El Hrayria,3,"32,6"
Decembre,Pepiniere El Agba,3,"34,5"
Janvier,Manoubia,10,"49,8"
Janvier,CRDA Bouchoucha,10,62
Janvier,Tunis Carthage,10,"57,2"
Janvier,Pepiniere Gammarth,10,66
Janvier,Belvedere,10,"64,8"
Janvier,Sidi Hassine,10,"59,6"
Janvier,SMVDA El Attar,3,"24,4"
Janvier,SMVDA Borj Chakir,14,"65,5"
Janvier,El Hrayria,10,"65,9"
Janvier,Pepiniere El Agba,10,"67,5"
Fevrier,Manoubia,4,"29,2"
Fevrier,CRDA Bouchoucha,4,24
Fevrier,Tunis Carthage,4,"36,6"
Fevrier,Pepiniere Gammarth,3,37
Fevrier,Belvedere,4,"30,8"
Fevrier,Sidi Hassine,4,"18,5"
Fevrier,SMVDA El Attar,0,0
Fevrier,SMVDA Borj Chakir,5,"26,5"
Fevrier,El Hrayria,4,"27,5"
Fevrier,Pepiniere El Agba,3,21
Mars,Manoubia,2,"35,5"
Mars,CRDA Bouchoucha,3,36
Mars,Tunis Carthage,3,"39,2"
Mars,Pepiniere Gammarth,3,46
Mars,Belvedere,3,"33,3"
Mars,Sidi Hassine,3,65
Mars,SMVDA El Attar,0,0
Mars,SMVDA Borj Chakir,4,"54,5"
Mars,El Hrayria,3,"51,8"
Mars,Pepiniere El Agba,3,"53,5"
Avril,Manoubia,2,"7,5"
Avril,CRDA Bouchoucha,2,10
Avril,Tunis Carthage,2,12
Avril,Pepiniere Gammarth,1,"1,5"
Avril,Belvedere,2,"9,5"
Avril,Sidi Hassine,2,"14,5"
Avril,SMVDA El Attar,0,0
Avril,SMVDA Borj Chakir,3,"14,5"
Avril,El Hrayria,2,"11,5"
Avril,Pepiniere El Agba,2,10
Mai,Manoubia,5,"30,5"
Mai,CRDA Bouchoucha,6,36
Mai,Tunis Carthage,5,30
Mai,Pepiniere Gammarth,5,32
Mai,Belvedere,5,"35,2"
Mai,Sidi Hassine,6,41
Mai,SMVDA El Attar,1,22
Mai,SMVDA Borj Chakir,6,50
Mai,El Hrayria,6,"44,3"
Mai,Pepiniere El Agba,6,46
Juin,Manoubia,0,0
Juin,CRDA Bouchoucha,0,0
Juin,Tunis Carthage,0,0
Juin,Pepiniere Gammarth,0,0
Juin,Belvedere,0,0
Juin,Sidi Hassine,0,0
Juin,SMVDA El Attar,0,0
Juin,SMVDA Borj Chakir,0,0
Juin,El Hrayria,0,0
Juin,Pepiniere El Agba,0,0
Juillet,Manoubia,0,0
Juillet,CRDA Bouchoucha,0,0
Juillet,Tunis Carthage,0,0
Juillet,Pepiniere Gammarth,0,0
Juillet,Belvedere,0,0
Juillet,Sidi Hassine,0,0
Juillet,SMVDA El Attar,0,0
Juillet,SMVDA Borj Chakir,0,0
Juillet,El Hrayria,0,0
Juillet,Pepiniere El Agba,0,0
Aout,Manoubia,3,"38,4"
Aout,CRDA Bouchoucha,3,37
Aout,Tunis Carthage,2,"22,4"
Aout,Pepiniere Gammarth,2,"23,5"
Aout,Belvedere,2,"27,6"
Aout,Sidi Hassine,3,39
Aout,SMVDA El Attar,3,"50,5"
Aout,SMVDA Borj Chakir,3,54
Aout,El Hrayria,3,48
Aout,Pepiniere El Agba,3,"45,5"
