Date,nom_ar,nom_fr,unite,valeur
2025-10-24 07:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-10-24 07:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-10-24 07:00:00,Pluie Totale,Pluie Totale,mm,1462.2
2025-10-24 06:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-10-24 06:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-10-24 06:00:00,Pluie Totale,Pluie Totale,mm,1462.2
2025-10-24 05:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-10-24 05:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-10-24 05:00:00,Pluie Totale,Pluie Totale,mm,1462.2
2025-10-24 04:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-10-24 04:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-10-24 04:00:00,Pluie Totale,Pluie Totale,mm,1462.2
2025-10-24 03:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-10-24 03:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-10-24 03:00:00,Pluie Totale,Pluie Totale,mm,1462.2
2025-10-24 02:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-10-24 02:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-10-24 02:00:00,Pluie Totale,Pluie Totale,mm,1462.2
2025-10-24 01:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-10-24 01:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-10-24 01:00:00,Pluie Totale,Pluie Totale,mm,1462.2
2025-10-24 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-10-24 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-10-24 00:00:00,Pluie Totale,Pluie Totale,mm,1462.2
