societe,nature_du_produit,quantite_kilos
المتوسطية,قشريات حية,"62,3"
المتوسطية,رخويات مثلجة,450
المتوسطية,أسماك مثلجة,"4483,2"
أزباسكا,قشريات مجمدة,83276
أزباسكا,رخويات مجمدة,4527
ديدون ماري,قشريات مجمدة,615
ديدون ماري,قشريات حية,"506,9"
ديدون ماري,أسماك مثلجة,"3035,5"
ديدون ماري,أسماك مجمدة,300
بن حميدة,أسماك مثلجة,"2086,5"
كامكسبور,قشريات مجمدة,5406
كامكسبور,أسماك مثلجة,1840
أكيمار,قشريات مجمدة,4802
أكيمار,رخويات مجمدة,304
ماديترنيان باسكا,مصبرات سمك أزرق,15900
سليماكس,قشريات مثلجة,95
سليماكس,رخويات مثلجة,"337,5"
سليماكس,أسماك مثلجة,"7216,2"
سليماكس,تربية مائية,10000
موليس دوس,رخويات حية,1434
