Date,Gouvernorat,Production
1980,Monastir,3.5
1980,Gafsa,9.9
1980,Sousse,12.0
1980,Gabès,13.6
1980,Mahdia,15.3
1980,Medenine,24.2
1980,Sfax,28.1
1980,Sidi Bouzid,47.5
1980,Tunis,51.7
1980,Bizerte,187.0
1980,Béja,194.3
1980,Jendouba,195.8
1980,Nabeul,214.1
1980,Kairouan,224.1
1980,Siliana,281.9
1980,Kasserine,434.5
1980,Kef,497.6
1980,Zaghouan,522.6
1981,Gafsa,8.4
1981,Monastir,22.5
1981,Tunis,27.3
1981,Sousse,32.0
1981,Sidi Bouzid,35.9
1981,Mahdia,90.5
1981,Sfax,92.8
1981,Bizerte,118.2
1981,Medenine,119.0
1981,Kairouan,127.1
1981,Gabès,130.0
1981,Nabeul,141.0
1981,Béja,166.6
1981,Kasserine,179.1
1981,Jendouba,198.4
1981,Siliana,325.1
1981,Zaghouan,414.2
1981,Kef,470.7
1982,Medenine,0.0
1982,Gabès,1.7
1982,Sidi Bouzid,3.2
1982,Gafsa,7.7
1982,Monastir,18.5
1982,Sousse,18.9
1982,Sfax,40.0
1982,Mahdia,52.0
1982,Tunis,100.1
1982,Kasserine,196.0
1982,Bizerte,215.7
1982,Kairouan,273.6
1982,Jendouba,280.0
1982,Béja,308.8
1982,Nabeul,310.1
1982,Siliana,417.1
1982,Zaghouan,512.5
1982,Kef,630.0
1983,Gafsa,2.0
1983,Kébili,3.6
1983,Kasserine,36.6
1983,Tunis,38.4
1983,Monastir,38.7
1983,Sidi Bouzid,70.7
1983,Medenine,70.7
1983,Tatouine,72.5
1983,Sousse,82.4
1983,Gabès,110.3
1983,Bizerte,150.0
1983,Nabeul,158.2
1983,Sfax,177.6
1983,Mahdia,179.8
1983,Jendouba,187.0
1983,Béja,203.7
1983,Siliana,214.9
1983,Zaghouan,334.9
1983,Kairouan,359.6
1983,Kef,540.3
1984,Gabès,2.4
1984,Gafsa,3.7
1984,Sousse,12.2
1984,Monastir,21.1
1984,Tatouine,28.9
1984,Medenine,31.7
1984,Sidi Bouzid,60.8
1984,Mahdia,68.8
1984,Sfax,109.9
1984,Tunis,110.0
1984,Bizerte,188.2
1984,Nabeul,205.3
1984,Kasserine,227.2
1984,Kairouan,263.6
1984,Jendouba,266.0
1984,Zaghouan,297.5
1984,Béja,310.8
1984,Siliana,310.8
1984,Kef,602.0
1985,Tozeur,3.1
1985,Tunis,14.2
1985,Ben Arous,24.2
1985,Gafsa,88.2
1985,Monastir,91.5
1985,Bizerte,130.0
1985,Gabès,154.8
1985,Medenine,179.4
1985,Tatouine,201.0
1985,Jendouba,225.0
1985,Ariana,235.6
1985,Nabeul,273.0
1985,Sfax,297.0
1985,Sidi Bouzid,319.0
1985,Sousse,374.0
1985,Béja,395.0
1985,Mahdia,402.3
1985,Zaghouan,424.8
1985,Siliana,502.9
1985,Kasserine,646.0
1985,Kairouan,891.4
1985,Kef,991.9
1986,Gafsa,3.0
1986,Tunis,4.0
1986,Ben Arous,4.2
1986,Monastir,7.8
1986,Medenine,8.3
1986,Sfax,10.7
1986,Sousse,11.0
1986,Sidi Bouzid,12.7
1986,Kasserine,28.3
1986,Ariana,29.2
1986,Mahdia,45.3
1986,Kairouan,49.2
1986,Zaghouan,87.5
1986,Jendouba,117.6
1986,Béja,141.0
1986,Siliana,145.2
1986,Nabeul,169.0
1986,Bizerte,194.5
1986,Kef,249.6
1987,Tunis,17.4
1987,Monastir,23.7
1987,Gabès,49.0
1987,Gafsa,54.0
1987,Ben Arous,60.0
1987,Sfax,93.8
1987,Medenine,103.5
1987,Ariana,123.3
1987,Bizerte,125.0
1987,Sousse,148.8
1987,Sidi Bouzid,153.9
1987,Mahdia,154.2
1987,Jendouba,277.5
1987,Béja,328.5
1987,Nabeul,412.8
1987,Kasserine,435.7
1987,Zaghouan,440.0
1987,Kairouan,443.6
1987,Siliana,704.6
1987,Kef,1216.0
1988,Sousse,1.2
1988,Zaghouan,1.3
1988,Sfax,3.1
1988,Mahdia,3.7
1988,Ariana,5.4
1988,Kef,7.0
1988,Kasserine,9.4
1988,Gabès,17.2
1988,Sidi Bouzid,19.2
1988,Bizerte,25.0
1988,Nabeul,27.0
1988,Kairouan,51.0
1988,Jendouba,55.0
1988,Béja,63.8
1988,Medenine,91.0
1988,Tatouine,102.0
1988,Siliana,147.0
1989,Gafsa,2.4
1989,Tunis,3.1
1989,Ben Arous,5.4
1989,Zaghouan,25.7
1989,Kasserine,36.6
1989,Monastir,43.5
1989,Gabès,50.0
1989,Ariana,63.0
1989,Jendouba,72.8
1989,Sousse,86.9
1989,Bizerte,88.0
1989,Sidi Bouzid,88.0
1989,Medenine,96.0
1989,Siliana,100.5
1989,Sfax,110.4
1989,Béja,118.0
1989,Tatouine,140.0
1989,Kef,180.0
1989,Kairouan,194.5
1989,Nabeul,211.2
1989,Mahdia,282.0
1990,Tunis,17.4
1990,Ben Arous,27.8
1990,Tatouine,33.0
1990,Medenine,36.0
1990,Monastir,38.3
1990,Gabès,42.3
1990,Gafsa,52.5
1990,Jendouba,58.2
1990,Bizerte,96.0
1990,Ariana,111.6
1990,Sousse,131.1
1990,Sfax,176.2
1990,Sidi Bouzid,198.9
1990,Nabeul,246.4
1990,Zaghouan,249.8
1990,Béja,275.0
1990,Kasserine,384.0
1990,Mahdia,408.5
