Date,nom_ar,nom_fr,unite,valeur
2025-11-25 18:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.8
2025-11-25 18:00:00,Pluie Totale,Pluie Totale,mm,2072.6
2025-11-25 18:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-25 16:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,4.8
2025-11-25 16:00:00,Pluie Totale,Pluie Totale,mm,2072.4
2025-11-25 16:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.6
2025-11-25 00:00:00,Pluie Totale,Pluie Totale,mm,2071.8
2025-11-25 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-25 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-24 00:00:00,Pluie Totale,Pluie Totale,mm,2071.8
2025-11-24 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-24 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-23 10:00:00,Pluie quotidienne,Pluie quotidienne,mm,3.0
2025-11-23 10:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-23 10:00:00,Pluie Totale,Pluie Totale,mm,2071.8
2025-11-23 09:00:00,Pluie quotidienne,Pluie quotidienne,mm,3.0
2025-11-23 09:00:00,Pluie Totale,Pluie Totale,mm,2071.8
2025-11-23 09:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,2.4
2025-11-23 08:00:00,Pluie quotidienne,Pluie quotidienne,mm,2.8
2025-11-23 08:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-23 08:00:00,Pluie Totale,Pluie Totale,mm,2071.6
2025-11-23 06:00:00,Pluie quotidienne,Pluie quotidienne,mm,2.6
2025-11-23 06:00:00,Pluie Totale,Pluie Totale,mm,2071.4
2025-11-23 06:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,2.4
2025-11-23 05:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,2.4
2025-11-23 05:00:00,Pluie Totale,Pluie Totale,mm,2071.0
2025-11-23 05:00:00,Pluie quotidienne,Pluie quotidienne,mm,2.2
2025-11-23 04:00:00,Pluie quotidienne,Pluie quotidienne,mm,1.8
2025-11-23 04:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,7.2
2025-11-23 04:00:00,Pluie Totale,Pluie Totale,mm,2070.6
2025-11-23 02:00:00,Pluie Totale,Pluie Totale,mm,2069.8
2025-11-23 02:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,7.2
2025-11-23 02:00:00,Pluie quotidienne,Pluie quotidienne,mm,1.0
2025-11-23 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-23 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-23 00:00:00,Pluie Totale,Pluie Totale,mm,2068.8
2025-11-22 20:00:00,Pluie quotidienne,Pluie quotidienne,mm,46.4
2025-11-22 20:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,4.8
2025-11-22 20:00:00,Pluie Totale,Pluie Totale,mm,2068.6
2025-11-22 18:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,28.8
2025-11-22 18:00:00,Pluie quotidienne,Pluie quotidienne,mm,43.6
2025-11-22 18:00:00,Pluie Totale,Pluie Totale,mm,2065.8
2025-11-22 16:00:00,Pluie Totale,Pluie Totale,mm,2061.6
2025-11-22 16:00:00,Pluie quotidienne,Pluie quotidienne,mm,39.4
2025-11-22 16:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,7.2
2025-11-22 14:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,12.0
2025-11-22 14:00:00,Pluie quotidienne,Pluie quotidienne,mm,35.4
2025-11-22 14:00:00,Pluie Totale,Pluie Totale,mm,2057.6
2025-11-22 12:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,21.6
2025-11-22 12:00:00,Pluie quotidienne,Pluie quotidienne,mm,33.0
2025-11-22 12:00:00,Pluie Totale,Pluie Totale,mm,2055.2
2025-11-22 10:00:00,Pluie Totale,Pluie Totale,mm,2045.4
2025-11-22 10:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,12.0
2025-11-22 10:00:00,Pluie quotidienne,Pluie quotidienne,mm,23.2
2025-11-22 09:00:00,Pluie quotidienne,Pluie quotidienne,mm,20.0
2025-11-22 09:00:00,Pluie Totale,Pluie Totale,mm,2042.2
2025-11-22 09:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,38.4
2025-11-22 08:00:00,Pluie Totale,Pluie Totale,mm,2036.2
2025-11-22 08:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,28.8
2025-11-22 08:00:00,Pluie quotidienne,Pluie quotidienne,mm,14.0
2025-11-22 07:00:00,Pluie quotidienne,Pluie quotidienne,mm,10.8
2025-11-22 07:00:00,Pluie Totale,Pluie Totale,mm,2033.0
2025-11-22 07:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,12.0
2025-11-22 06:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,9.6
2025-11-22 06:00:00,Pluie quotidienne,Pluie quotidienne,mm,9.2
2025-11-22 06:00:00,Pluie Totale,Pluie Totale,mm,2031.4
2025-11-22 02:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,7.2
2025-11-22 02:00:00,Pluie quotidienne,Pluie quotidienne,mm,2.8
2025-11-22 02:00:00,Pluie Totale,Pluie Totale,mm,2025.0
2025-11-22 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,9.6
2025-11-22 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-22 00:00:00,Pluie Totale,Pluie Totale,mm,2022.2
2025-11-21 22:00:00,Pluie quotidienne,Pluie quotidienne,mm,21.6
2025-11-21 22:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,16.8
2025-11-21 22:00:00,Pluie Totale,Pluie Totale,mm,2014.0
2025-11-21 21:00:00,Pluie Totale,Pluie Totale,mm,2011.8
2025-11-21 21:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,9.6
2025-11-21 21:00:00,Pluie quotidienne,Pluie quotidienne,mm,19.4
2025-11-21 20:00:00,Pluie Totale,Pluie Totale,mm,2009.2
2025-11-21 20:00:00,Pluie quotidienne,Pluie quotidienne,mm,16.8
2025-11-21 20:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,7.2
2025-11-21 18:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,9.6
2025-11-21 18:00:00,Pluie Totale,Pluie Totale,mm,2003.4
2025-11-21 18:00:00,Pluie quotidienne,Pluie quotidienne,mm,11.0
2025-11-21 16:00:00,Pluie Totale,Pluie Totale,mm,1999.2
2025-11-21 16:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,9.6
2025-11-21 16:00:00,Pluie quotidienne,Pluie quotidienne,mm,6.8
2025-11-21 15:00:00,Pluie Totale,Pluie Totale,mm,1996.8
2025-11-21 15:00:00,Pluie quotidienne,Pluie quotidienne,mm,4.4
2025-11-21 15:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,7.2
2025-11-21 14:00:00,Pluie Totale,Pluie Totale,mm,1995.8
2025-11-21 14:00:00,Pluie quotidienne,Pluie quotidienne,mm,3.4
2025-11-21 14:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,2.4
2025-11-21 12:00:00,Pluie Totale,Pluie Totale,mm,1995.2
2025-11-21 12:00:00,Pluie quotidienne,Pluie quotidienne,mm,2.8
2025-11-21 12:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,2.4
2025-11-21 10:00:00,Pluie Totale,Pluie Totale,mm,1995.0
2025-11-21 10:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,7.2
2025-11-21 10:00:00,Pluie quotidienne,Pluie quotidienne,mm,2.6
2025-11-21 08:00:00,Pluie Totale,Pluie Totale,mm,1993.2
2025-11-21 08:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-21 08:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.8
2025-11-21 04:00:00,Pluie Totale,Pluie Totale,mm,1993.0
2025-11-21 04:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.6
2025-11-21 04:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-21 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-21 00:00:00,Pluie Totale,Pluie Totale,mm,1992.4
2025-11-21 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-20 22:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.8
2025-11-20 22:00:00,Pluie Totale,Pluie Totale,mm,1992.4
2025-11-20 22:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-20 20:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.6
2025-11-20 20:00:00,Pluie Totale,Pluie Totale,mm,1992.2
2025-11-20 20:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,4.8
2025-11-20 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-20 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-20 00:00:00,Pluie Totale,Pluie Totale,mm,1991.6
2025-11-19 00:00:00,Pluie Totale,Pluie Totale,mm,1991.6
2025-11-19 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-19 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-18 04:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-18 04:00:00,Pluie Totale,Pluie Totale,mm,1991.6
2025-11-18 04:00:00,Pluie quotidienne,Pluie quotidienne,mm,4.4
2025-11-18 02:00:00,Pluie Totale,Pluie Totale,mm,1989.4
2025-11-18 02:00:00,Pluie quotidienne,Pluie quotidienne,mm,2.2
2025-11-18 02:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,14.4
2025-11-18 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-18 00:00:00,Pluie Totale,Pluie Totale,mm,1987.2
2025-11-18 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-17 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-17 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-17 00:00:00,Pluie Totale,Pluie Totale,mm,1987.2
2025-11-16 00:00:00,Pluie Totale,Pluie Totale,mm,1987.2
2025-11-16 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-16 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-15 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-15 00:00:00,Pluie Totale,Pluie Totale,mm,1987.2
2025-11-15 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-14 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-14 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-14 00:00:00,Pluie Totale,Pluie Totale,mm,1987.2
2025-11-13 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-13 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-13 00:00:00,Pluie Totale,Pluie Totale,mm,1987.2
2025-11-12 00:00:00,Pluie Totale,Pluie Totale,mm,1987.2
2025-11-12 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-12 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-11 00:00:00,Pluie Totale,Pluie Totale,mm,1987.2
2025-11-11 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-11 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-09 12:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,9.6
2025-11-09 12:00:00,Pluie quotidienne,Pluie quotidienne,mm,3.4
2025-11-09 12:00:00,Pluie Totale,Pluie Totale,mm,1985.2
2025-11-09 10:00:00,Pluie Totale,Pluie Totale,mm,1984.2
2025-11-09 10:00:00,Pluie quotidienne,Pluie quotidienne,mm,2.4
2025-11-09 10:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-09 09:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,4.8
2025-11-09 09:00:00,Pluie quotidienne,Pluie quotidienne,mm,2.4
2025-11-09 09:00:00,Pluie Totale,Pluie Totale,mm,1984.2
2025-11-09 08:00:00,Pluie quotidienne,Pluie quotidienne,mm,1.6
2025-11-09 08:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,2.4
2025-11-09 08:00:00,Pluie Totale,Pluie Totale,mm,1983.4
2025-11-09 00:00:00,Pluie Totale,Pluie Totale,mm,1981.8
2025-11-09 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-09 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-08 22:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,9.6
2025-11-08 22:00:00,Pluie quotidienne,Pluie quotidienne,mm,3.6
2025-11-08 22:00:00,Pluie Totale,Pluie Totale,mm,1981.6
2025-11-08 00:00:00,Pluie Totale,Pluie Totale,mm,1978.0
2025-11-08 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-08 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-07 22:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,7.2
2025-11-07 22:00:00,Pluie quotidienne,Pluie quotidienne,mm,3.8
2025-11-07 22:00:00,Pluie Totale,Pluie Totale,mm,1978.0
2025-11-07 20:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,2.4
2025-11-07 20:00:00,Pluie quotidienne,Pluie quotidienne,mm,3.0
2025-11-07 20:00:00,Pluie Totale,Pluie Totale,mm,1977.2
2025-11-07 18:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-07 18:00:00,Pluie quotidienne,Pluie quotidienne,mm,2.4
2025-11-07 18:00:00,Pluie Totale,Pluie Totale,mm,1976.6
2025-11-07 07:00:00,Pluie quotidienne,Pluie quotidienne,mm,1.8
2025-11-07 07:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-07 07:00:00,Pluie Totale,Pluie Totale,mm,1976.0
2025-11-07 06:00:00,Pluie quotidienne,Pluie quotidienne,mm,1.8
2025-11-07 06:00:00,Pluie Totale,Pluie Totale,mm,1976.0
2025-11-07 06:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,2.4
2025-11-07 05:00:00,Pluie quotidienne,Pluie quotidienne,mm,1.6
2025-11-07 05:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,2.4
2025-11-07 05:00:00,Pluie Totale,Pluie Totale,mm,1975.8
2025-11-07 04:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,7.2
2025-11-07 04:00:00,Pluie Totale,Pluie Totale,mm,1975.6
2025-11-07 04:00:00,Pluie quotidienne,Pluie quotidienne,mm,1.4
2025-11-07 03:00:00,Pluie Totale,Pluie Totale,mm,1974.8
2025-11-07 03:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,4.8
2025-11-07 03:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.6
2025-11-07 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-07 00:00:00,Pluie Totale,Pluie Totale,mm,1974.2
2025-11-07 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-06 00:00:00,Pluie Totale,Pluie Totale,mm,1974.2
2025-11-06 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-06 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-05 00:00:00,Pluie Totale,Pluie Totale,mm,1974.2
2025-11-05 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-05 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-04 00:00:00,Pluie Totale,Pluie Totale,mm,1974.2
2025-11-04 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-04 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-03 00:00:00,Pluie Totale,Pluie Totale,mm,1974.2
2025-11-03 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-03 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
