Annee;Auteur_affil;Isn;Langue;M_coll_auteur;M_lieu_edition;M_titre_orig;Projet_develop;Resume;Titre;source
1975;DPA;1;(FR);DPA;TUNIS;RAPPORT D'ACTIVITE DE LA DIRECTION DE LA PRODUCTION AGRICOLE, CAMPAGNE 1973-1974;;/RAPPORT D'ACTIVITE/ DES DIFFERENTS SERVICES AGRICOLES SUR LA /PRODUCTION AGRICOLE/ EN TUNISIE - CE RAPPORT PRESENTE PAR /GOUVERNORAT/ L'ANNEE AGRICOLE 1973-1974 .;RAPPORT D'ACTIVITE DE LA DIRECTION DE LA PRODUCTION AGRICOLE, CAMPAGNE 1973-1974;http://www.onagri.tn/uploads/docagri/1.PDF
1975;ONH;3;(FR);ONH;Tunis;2. Cours international de perfectionnement oleicole, 27 janvier-14 mars 1975. Boughrara, Sfax;FAO/SIDA/TUN-2;Cours pour la /formation professionnelle/ en matiere de culture d/olivier/s au /Maghreb/ et en /Syrie/ - /Formation continue/ et /établissement d'enseignement/ en Tunisie;2. Cours international de perfectionnement oleicole, 27 janvier-14 mars 1975. Boughrara, Sfax;http://www.onagri.tn/uploads/docagri/3.PDF
1975;BEN-ATTIA, A.;7;(FR);OEP;TUNIS;PROBLEMES POSES AU SECTEUR DE LA PRODUCTION LAITIERE;;NOTE SUR LES PROBLEMES POSES A L /INDUSTRIE ALIMENTAIRE/ CONCERN. LES /PRODUIT LAITIER/ S - TABLEAU SUR LES /IMPORTATION/ S DE /LAIT/. /COUT DE PRODUCTION/ ET VARIATION DU /PRIX DE REVIENT/ DU LITRE POUR ELEVAGE INTEGRE OU TRADITIONNEL;PROBLEMES POSES AU SECTEUR DE LA PRODUCTION LAITIERE;http://www.onagri.tn/uploads/docagri/7.PDF
1974;DPA;9;(FR);DPA;TUNIS;SITUATION ACTUELLE DU SECTEUR CEREALIER ET PERSPECTIVES D'AMELIORATION DE LA PRODUCTION;;SITUATION ET EVOLUTION DES /SUPERFICIES CULTIVEES/ EN /CEREALES/ ET /PLANTE FOURRAGERE/ DE 1972 A 1975 AVEC /COUT DE PRODUCTION/ ET /FACTEUR DE PRODUCTION/ - /BLE DUR/ , /BLE TENDRE/ , /ORGE/ , /VESCE AVOINE/;SITUATION ACTUELLE DU SECTEUR CEREALIER ET PERSPECTIVES D'AMELIORATION DE LA PRODUCTION;http://www.onagri.tn/uploads/docagri/9.PDF
1975;MIN. AGR.;10;(FR);MIN. AGR.;TUNIS;PROJET DE PROMOTION DU SECTEUR CEREALIER;;PROMOTION DU SECTEUR CEREALIER PAR /SUBVENTION/ DE L'ETAT. ETUDE DES /PRODUCTION/S, /COUT DE PRODUCTION/ , /IMPORTATION/ DES /CEREALES/ ET /FOURRAGE/S - TABLEAU DES/INVESTISSEMENT/ S ET /SUPERFICIES CULTIVEES/ EN /VESCE AVOINE/ , /BLE DUR/ , /BLE TENDRE/ ET /ORGE/;PROJET DE PROMOTION DU SECTEUR CEREALIER;http://www.onagri.tn/uploads/docagri/10.PDF
1975;CRGR;11;(FR);CRGR;TUNIS;COMPTE RENDU DE LA CAMPAGNE, HIVER 1973-1974;;/EXPERIMENTATION/ SUR LA /BETTERAVE SUCRIERE/ A /CHERFECH/ AVEC /PROFIL HYDRIQUE DU SOL/ - /CALENDRIER D'IRRIGATION/ ET REPONSE DES /HERBICIDE/S;COMPTE RENDU DE LA CAMPAGNE, HIVER 1973-1974;http://www.onagri.tn/uploads/docagri/11.PDF
1975;DIV. VA;12;(FR);DIV. VA;TUNIS;LA CULTURE DE L'OLIVIER;;DOCUMENT DE /VULGARISATION AGRICOLE/ SUR LA CULTURE DE L/OLIVIER/;LA CULTURE DE L'OLIVIER;http://www.onagri.tn/uploads/docagri/12.PDF
1975;LIMAIEM, S.;24;(FR);CRGR;CHOTT MARIEM;CULTURE, DE LA TOMATE DE PRIMEUR, TAILLAGE DES CULTURES, PRODUCTION DES PLANTS, LES GRANDS ABRIS PLASTIQUES, RAYONNEMENT DE LA STATION;;/RAPPORT D'ACTIVITE/ DE LA STATION DE /CHOTT MARIEM/ SUR /CULTURE ABRITEE/ DES /PLANTE MARAICHERE/S - /CULTURE HORS SAISON/ DES /TOMATE/ , /POMME DE TERRE/ ET /MELON/ . ETUDE SUR LES /SERRE/S EN /MATIERE PLASTIQUE/ ET LA PREPARATION DES /PEPINIERE/S SUR LA PRODUCTION DES PLANTS;CULTURE, DE LA TOMATE DE PRIMEUR, TAILLAGE DES CULTURES, PRODUCTION DES PLANTS, LES GRANDS ABRIS PLASTIQUES, RAYONNEMENT DE LA STATION;http://www.onagri.tn/uploads/docagri/24.PDF
1975;DRE;30;(FR);DRE;TUNIS;ANNUAIRE PLUVIOMETRIQUE  DE LA  TUNISIE 1969-1970;;/Annuaire/ relatif à la /pluviométrie/ de la /Tunisie/  - Réparation des /pluie/s journalières, mensuelles et annuelles selon les bassins et les /gouvernorat/s\n;ANNUAIRE PLUVIOMETRIQUE  DE LA  TUNISIE 1969-1970;http://www.onagri.tn/uploads/docagri/30.PDF
1975;ZOUAOUI, A.KALLEL, M.R.;32;(FR);DRE;TUNIS;DOSSIER PLUVIOMETRIQUE DE TUNIS-MANOUBIA;;/DOCUMENT DE SYNTHESE/ SUR LES /PLUIE/S ENREGISTREES A LA /STATION METEOROLOGIQUE/ DE /TUNIS/ MANOUBIA DE 1873 A 1971;DOSSIER PLUVIOMETRIQUE DE TUNIS-MANOUBIA;http://www.onagri.tn/uploads/docagri/32.PDF
