Date,nom_ar,nom_fr,unite,valeur
2025-11-25 21:00:04,Température,Température,°c,16.1
2025-11-25 21:00:04,L'humidité du sol,L'humidité du sol,mV,590.6
2025-11-25 21:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.4
2025-11-25 20:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.4
2025-11-25 20:00:04,Température,Température,°c,16.0
2025-11-25 20:00:04,L'humidité du sol,L'humidité du sol,mV,590.1
2025-11-25 19:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.4
2025-11-25 19:00:04,Température,Température,°c,15.9
2025-11-25 19:00:04,L'humidité du sol,L'humidité du sol,mV,590.8
2025-11-25 18:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.4
2025-11-25 18:00:04,L'humidité du sol,L'humidité du sol,mV,590.0
2025-11-25 18:00:04,Température,Température,°c,15.9
2025-11-25 17:00:04,Température,Température,°c,15.8
2025-11-25 17:00:04,L'humidité du sol,L'humidité du sol,mV,589.8
2025-11-25 17:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.4
2025-11-25 16:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.4
2025-11-25 16:00:04,L'humidité du sol,L'humidité du sol,mV,591.2
2025-11-25 16:00:04,Température,Température,°c,15.8
2025-11-25 15:00:04,L'humidité du sol,L'humidité du sol,mV,591.1
2025-11-25 15:00:04,Température,Température,°c,15.8
2025-11-25 15:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.4
2025-11-25 14:00:04,L'humidité du sol,L'humidité du sol,mV,591.2
2025-11-25 14:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.4
2025-11-25 14:00:04,Température,Température,°c,15.8
2025-11-25 13:00:04,Température,Température,°c,15.8
2025-11-25 13:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.5
2025-11-25 13:00:04,L'humidité du sol,L'humidité du sol,mV,591.3
2025-11-25 12:00:04,L'humidité du sol,L'humidité du sol,mV,591.3
2025-11-25 12:00:04,Température,Température,°c,15.8
2025-11-25 12:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.5
2025-11-25 11:00:04,Température,Température,°c,15.8
2025-11-25 11:00:04,L'humidité du sol,L'humidité du sol,mV,591.1
2025-11-25 11:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.4
2025-11-25 10:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.4
2025-11-25 10:00:04,Température,Température,°c,15.8
2025-11-25 10:00:04,L'humidité du sol,L'humidité du sol,mV,591.1
2025-11-25 09:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.4
2025-11-25 09:00:04,Température,Température,°c,15.8
2025-11-25 09:00:04,L'humidité du sol,L'humidité du sol,mV,590.9
2025-11-25 08:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.4
2025-11-25 08:00:04,L'humidité du sol,L'humidité du sol,mV,591.1
2025-11-25 08:00:04,Température,Température,°c,15.8
2025-11-25 07:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.4
2025-11-25 07:00:04,Température,Température,°c,15.8
2025-11-25 07:00:04,L'humidité du sol,L'humidité du sol,mV,591.1
2025-11-25 06:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.4
2025-11-25 06:00:04,L'humidité du sol,L'humidité du sol,mV,590.9
2025-11-25 06:00:04,Température,Température,°c,15.8
2025-11-25 05:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.4
2025-11-25 05:00:04,Température,Température,°c,15.9
2025-11-25 05:00:04,L'humidité du sol,L'humidité du sol,mV,590.7
2025-11-25 04:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.4
2025-11-25 04:00:04,L'humidité du sol,L'humidité du sol,mV,590.6
2025-11-25 04:00:04,Température,Température,°c,15.9
2025-11-25 03:00:04,L'humidité du sol,L'humidité du sol,mV,591.0
2025-11-25 03:00:04,Température,Température,°c,15.9
2025-11-25 03:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.4
2025-11-25 02:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.4
2025-11-25 02:00:04,Température,Température,°c,15.9
2025-11-25 02:00:04,L'humidité du sol,L'humidité du sol,mV,591.0
2025-11-25 01:00:04,Température,Température,°c,15.9
2025-11-25 01:00:04,L'humidité du sol,L'humidité du sol,mV,590.9
2025-11-25 01:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.4
2025-11-25 00:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.5
2025-11-25 00:00:04,Température,Température,°c,15.8
2025-11-25 00:00:04,L'humidité du sol,L'humidité du sol,mV,591.3
2025-11-24 23:00:04,Température,Température,°c,15.8
2025-11-24 23:00:04,L'humidité du sol,L'humidité du sol,mV,591.3
2025-11-24 23:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.5
2025-11-24 22:00:04,L'humidité du sol,L'humidité du sol,mV,591.3
2025-11-24 22:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.4
2025-11-24 22:00:04,Température,Température,°c,15.8
2025-11-24 21:00:04,L'humidité du sol,L'humidité du sol,mV,590.3
2025-11-24 21:00:04,Température,Température,°c,15.8
2025-11-24 21:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.4
2025-11-24 20:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.4
2025-11-24 20:00:04,L'humidité du sol,L'humidité du sol,mV,590.4
2025-11-24 20:00:04,Température,Température,°c,15.7
2025-11-24 19:00:04,Température,Température,°c,15.7
2025-11-24 19:00:04,L'humidité du sol,L'humidité du sol,mV,590.1
2025-11-24 19:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.4
2025-11-24 18:00:04,Température,Température,°c,15.6
2025-11-24 18:00:04,L'humidité du sol,L'humidité du sol,mV,590.3
2025-11-24 18:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.4
2025-11-24 17:00:04,Température,Température,°c,15.6
2025-11-24 17:00:04,L'humidité du sol,L'humidité du sol,mV,590.9
2025-11-24 17:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.4
2025-11-24 16:00:04,L'humidité du sol,L'humidité du sol,mV,590.9
2025-11-24 16:00:04,Température,Température,°c,15.6
2025-11-24 16:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.4
2025-11-24 15:00:04,Température,Température,°c,15.6
2025-11-24 15:00:04,L'humidité du sol,L'humidité du sol,mV,590.9
2025-11-24 15:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.4
2025-11-24 14:00:04,Température,Température,°c,15.6
2025-11-24 14:00:04,L'humidité du sol,L'humidité du sol,mV,591.1
2025-11-24 14:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.4
2025-11-24 12:00:04,L'humidité du sol,L'humidité du sol,mV,590.4
2025-11-24 12:00:04,Température,Température,°c,15.7
2025-11-24 12:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.4
2025-11-24 11:00:04,Température,Température,°c,15.7
2025-11-24 11:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.4
2025-11-24 11:00:04,L'humidité du sol,L'humidité du sol,mV,590.9
