Date,nom_ar,nom_fr,unite,valeur
2025-10-24 06:00:05,Pression relative,Pression relative,hPa,15.0
2025-10-24 06:00:05,Niveau du fluid,Niveau du fluid,m,0.15
2025-10-24 05:00:05,Niveau du fluid,Niveau du fluid,m,0.15
2025-10-24 05:00:05,Pression relative,Pression relative,hPa,15.0
2025-10-24 04:00:05,Pression relative,Pression relative,hPa,13.0
2025-10-24 04:00:05,Niveau du fluid,Niveau du fluid,m,0.13
2025-10-24 03:00:05,Pression relative,Pression relative,hPa,12.0
2025-10-24 03:00:05,Niveau du fluid,Niveau du fluid,m,0.12
2025-10-24 02:00:05,Niveau du fluid,Niveau du fluid,m,0.12
2025-10-24 02:00:05,Pression relative,Pression relative,hPa,12.0
2025-10-24 01:00:05,Niveau du fluid,Niveau du fluid,m,0.12
2025-10-24 01:00:05,Pression relative,Pression relative,hPa,12.0
2025-10-24 00:00:05,Niveau du fluid,Niveau du fluid,m,0.11
2025-10-24 00:00:05,Pression relative,Pression relative,hPa,11.0
