Date,nom_ar,nom_fr,unite,valeur
2025-11-25 20:00:02,Vitesse du vent,Vitesse du vent,m/s,1.91
2025-11-25 20:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 20:00:02,Point de Rosée,Point de Rosée,°C,8.9
2025-11-25 20:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1005.7
2025-11-25 20:00:02,Humidité relative,Humidité relative,%,75.1
2025-11-25 20:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 20:00:02,Température,Température,°C,13.2
2025-11-25 20:00:02,Direction du vent,Direction du vent,Deg,216.3
2025-11-25 20:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-25 18:00:02,Direction du vent,Direction du vent,Deg,243.0
2025-11-25 18:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-25 18:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 18:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1005.3
2025-11-25 18:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,1.0
2025-11-25 18:00:02,Point de Rosée,Point de Rosée,°C,9.0
2025-11-25 18:00:02,Humidité relative,Humidité relative,%,76.0
2025-11-25 18:00:02,Température,Température,°C,13.2
2025-11-25 18:00:02,Vitesse du vent,Vitesse du vent,m/s,2.56
2025-11-25 16:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1003.7
2025-11-25 16:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-25 16:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 16:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,54.0
2025-11-25 16:00:02,Point de Rosée,Point de Rosée,°C,10.2
2025-11-25 16:00:02,Humidité relative,Humidité relative,%,78.0
2025-11-25 16:00:02,Température,Température,°C,14.0
2025-11-25 16:00:02,Direction du vent,Direction du vent,Deg,299.4
2025-11-25 16:00:02,Vitesse du vent,Vitesse du vent,m/s,6.07
2025-11-25 14:00:02,Vitesse du vent,Vitesse du vent,m/s,5.13
2025-11-25 14:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-25 14:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 14:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1000.9
2025-11-25 14:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,142.0
2025-11-25 14:00:02,Point de Rosée,Point de Rosée,°C,8.2
2025-11-25 14:00:02,Humidité relative,Humidité relative,%,47.3
2025-11-25 14:00:02,Température,Température,°C,19.8
2025-11-25 14:00:02,Direction du vent,Direction du vent,Deg,260.2
2025-11-25 12:00:02,Direction du vent,Direction du vent,Deg,242.9
2025-11-25 12:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-25 12:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 12:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1002.2
2025-11-25 12:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,225.0
2025-11-25 12:00:02,Point de Rosée,Point de Rosée,°C,4.5
2025-11-25 12:00:02,Humidité relative,Humidité relative,%,35.8
2025-11-25 12:00:02,Température,Température,°C,20.1
2025-11-25 12:00:02,Vitesse du vent,Vitesse du vent,m/s,4.37
2025-11-25 11:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,462.0
2025-11-25 11:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-25 11:00:02,Vitesse du vent,Vitesse du vent,m/s,5.07
2025-11-25 11:00:02,Point de Rosée,Point de Rosée,°C,4.7
2025-11-25 11:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 11:00:02,Direction du vent,Direction du vent,Deg,247.2
2025-11-25 11:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1003.3
2025-11-25 11:00:02,Température,Température,°C,20.0
2025-11-25 11:00:02,Humidité relative,Humidité relative,%,36.6
2025-11-25 10:00:02,Direction du vent,Direction du vent,Deg,168.5
2025-11-25 10:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-25 10:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 10:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1003.8
2025-11-25 10:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,360.0
2025-11-25 10:00:02,Point de Rosée,Point de Rosée,°C,6.7
2025-11-25 10:00:02,Humidité relative,Humidité relative,%,48.1
2025-11-25 10:00:02,Température,Température,°C,17.8
2025-11-25 10:00:02,Vitesse du vent,Vitesse du vent,m/s,1.35
2025-11-25 08:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-25 08:00:02,Vitesse du vent,Vitesse du vent,m/s,2.04
2025-11-25 08:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 08:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1004.6
2025-11-25 08:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,49.0
2025-11-25 08:00:02,Point de Rosée,Point de Rosée,°C,4.1
2025-11-25 08:00:02,Humidité relative,Humidité relative,%,61.9
2025-11-25 08:00:02,Température,Température,°C,11.2
2025-11-25 08:00:02,Direction du vent,Direction du vent,Deg,168.6
2025-11-25 06:00:02,Température,Température,°C,11.1
2025-11-25 06:00:02,Vitesse du vent,Vitesse du vent,m/s,1.05
2025-11-25 06:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-25 06:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 06:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1005.0
2025-11-25 06:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 06:00:02,Point de Rosée,Point de Rosée,°C,4.2
2025-11-25 06:00:02,Humidité relative,Humidité relative,%,62.4
2025-11-25 06:00:02,Direction du vent,Direction du vent,Deg,174.3
2025-11-25 04:00:02,Température,Température,°C,10.0
2025-11-25 04:00:02,Vitesse du vent,Vitesse du vent,m/s,0.92
2025-11-25 04:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-25 04:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 04:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1006.0
2025-11-25 04:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,1.0
2025-11-25 04:00:02,Point de Rosée,Point de Rosée,°C,5.9
2025-11-25 04:00:02,Humidité relative,Humidité relative,%,75.7
2025-11-25 04:00:02,Direction du vent,Direction du vent,Deg,272.5
2025-11-25 02:00:02,Direction du vent,Direction du vent,Deg,265.9
2025-11-25 02:00:02,Vitesse du vent,Vitesse du vent,m/s,0.67
2025-11-25 02:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-25 02:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 02:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1007.1
2025-11-25 02:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 02:00:02,Point de Rosée,Point de Rosée,°C,7.3
2025-11-25 02:00:02,Humidité relative,Humidité relative,%,85.6
2025-11-25 02:00:02,Température,Température,°C,9.6
2025-11-25 00:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1008.0
2025-11-25 00:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-25 00:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 00:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 00:00:02,Point de Rosée,Point de Rosée,°C,7.2
2025-11-25 00:00:02,Humidité relative,Humidité relative,%,86.9
2025-11-25 00:00:02,Température,Température,°C,9.3
2025-11-25 00:00:02,Direction du vent,Direction du vent,Deg,273.0
2025-11-25 00:00:02,Vitesse du vent,Vitesse du vent,m/s,1.14
2025-11-24 22:00:02,Direction du vent,Direction du vent,Deg,301.8
2025-11-24 22:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-24 22:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-24 22:00:02,Vitesse du vent,Vitesse du vent,m/s,0.95
2025-11-24 22:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1008.5
2025-11-24 22:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-24 22:00:02,Point de Rosée,Point de Rosée,°C,7.5
2025-11-24 22:00:02,Humidité relative,Humidité relative,%,89.0
2025-11-24 22:00:02,Température,Température,°C,9.2
2025-11-24 20:00:02,Température,Température,°C,10.4
2025-11-24 20:00:02,Vitesse du vent,Vitesse du vent,m/s,0.56
2025-11-24 20:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-24 20:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-24 20:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1009.3
2025-11-24 20:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-24 20:00:02,Point de Rosée,Point de Rosée,°C,7.0
2025-11-24 20:00:02,Humidité relative,Humidité relative,%,79.9
2025-11-24 20:00:02,Direction du vent,Direction du vent,Deg,222.1
2025-11-24 18:00:02,Vitesse du vent,Vitesse du vent,m/s,1.17
2025-11-24 18:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-24 18:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-24 18:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1009.0
2025-11-24 18:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-24 18:00:02,Point de Rosée,Point de Rosée,°C,7.4
2025-11-24 18:00:02,Humidité relative,Humidité relative,%,73.6
2025-11-24 18:00:02,Température,Température,°C,12.0
2025-11-24 18:00:02,Direction du vent,Direction du vent,Deg,306.8
2025-11-24 16:00:02,Vitesse du vent,Vitesse du vent,m/s,0.94
2025-11-24 16:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-24 16:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-24 16:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1008.8
2025-11-24 16:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,103.0
2025-11-24 16:00:02,Point de Rosée,Point de Rosée,°C,7.7
2025-11-24 16:00:02,Humidité relative,Humidité relative,%,47.6
2025-11-24 16:00:02,Température,Température,°C,19.1
2025-11-24 16:00:02,Direction du vent,Direction du vent,Deg,169.0
2025-11-24 14:00:02,Direction du vent,Direction du vent,Deg,197.0
2025-11-24 14:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-24 14:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-24 14:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1009.6
