Date,Mois,Annee,Stock_million_litre
2007-01-31,janvier,2007,"17,3"
2007-02-28,fevrier,2007,"20,2"
2007-03-31,mars,2007,"24,5"
2007-04-30,avril,2007,"31,2"
2007-05-31,mai,2007,"33,1"
2007-06-30,juin,2007,34
2007-07-31,juillet,2007,"34,5"
2007-08-31,aout,2007,"28,4"
2007-09-30,septembre,2007,"12,2"
2007-10-31,octobre,2007,"4,7"
2007-11-30,novembre,2007,"1,9"
2007-12-31,decembre,2007,"2,1"
2008-01-31,janvier,2008,"3,8"
2008-02-29,fevrier,2008,"14,1"
2008-03-31,mars,2008,"22,7"
2008-04-30,avril,2008,35
2008-05-31,mai,2008,"47,6"
2008-06-30,juin,2008,"56,7"
2008-07-31,juillet,2008,"61,8"
2008-08-31,aout,2008,51
2008-09-30,septembre,2008,"39,2"
2008-10-31,octobre,2008,"27,6"
2008-11-30,novembre,2008,"21,8"
2008-12-31,decembre,2008,"16,2"
2009-01-31,janvier,2009,"14,5"
2009-02-28,fevrier,2009,"15,3"
2009-03-31,mars,2009,"22,9"
2009-04-30,avril,2009,"30,4"
2009-05-31,mai,2009,"36,3"
2009-06-30,juin,2009,"43,7"
2009-07-31,juillet,2009,"48,6"
2009-08-31,aout,2009,"33,9"
2009-09-30,septembre,2009,"27,6"
2009-10-31,octobre,2009,"21,6"
2009-11-30,novembre,2009,"18,4"
2009-12-31,decembre,2009,"14,9"
2010-01-31,janvier,2010,"15,9"
2010-02-28,fevrier,2010,"19,3"
2010-03-31,mars,2010,"28,3"
2010-04-30,avril,2010,"40,1"
2010-05-31,mai,2010,"48,5"
2010-06-30,juin,2010,"54,5"
2010-07-31,juillet,2010,"55,7"
2010-08-31,aout,2010,"45,1"
2010-09-30,septembre,2010,44
2010-10-31,octobre,2010,"39,4"
2010-11-30,novembre,2010,"36,5"
2010-12-31,decembre,2010,"34,6"
2011-01-31,janvier,2011,"29,9"
2011-02-28,fevrier,2011,"35,2"
2011-03-31,mars,2011,"35,8"
2011-04-30,avril,2011,"38,4"
2011-05-31,mai,2011,39
2011-06-30,juin,2011,"38,9"
2011-07-31,juillet,2011,"26,3"
2011-08-31,aout,2011,"21,7"
2011-09-30,septembre,2011,"15,6"
2011-10-31,octobre,2011,"8,1"
2011-11-30,novembre,2011,"6,9"
2011-12-31,decembre,2011,"7,5"
2012-01-31,janvier,2012,"8,3"
2012-02-29,fevrier,2012,"9,6"
2012-03-31,mars,2012,"16,6"
2012-04-30,avril,2012,"28,6"
2012-05-31,mai,2012,"36,1"
2012-06-30,juin,2012,"37,8"
2012-07-31,juillet,2012,"27,4"
2012-08-31,aout,2012,"23,9"
2012-09-30,septembre,2012,"16,6"
2012-10-31,octobre,2012,"13,8"
2012-11-30,novembre,2012,"8,5"
2012-12-31,decembre,2012,"8,2"
2013-01-31,janvier,2013,"9,5"
2013-02-28,fevrier,2013,"12,7"
2013-03-31,mars,2013,"25,5"
2013-04-30,avril,2013,36
2013-05-31,mai,2013,"43,8"
2013-06-30,juin,2013,"46,5"
2013-07-31,juillet,2013,"35,6"
2013-08-31,aout,2013,"35,5"
2013-09-30,septembre,2013,"32,5"
2013-10-31,octobre,2013,29
2013-11-30,novembre,2013,"22,9"
2013-12-31,decembre,2013,"21,2"
2014-01-31,janvier,2014,21
2014-02-28,fevrier,2014,"25,3"
2014-03-31,mars,2014,"35,1"
2014-04-30,avril,2014,"42,2"
2014-05-31,mai,2014,"52,1"
2014-06-30,juin,2014,"46,3"
2014-07-31,juillet,2014,"48,8"
2014-08-31,aout,2014,"43,2"
2014-09-30,septembre,2014,"33,7"
2014-10-31,octobre,2014,"26,8"
2014-11-30,novembre,2014,"19,3"
2014-12-31,decembre,2014,13
2015-01-31,janvier,2015,"13,8"
2015-02-28,fevrier,2015,"18,2"
2015-03-31,mars,2015,"26,2"
2015-04-30,avril,2015,"42,5"
2015-05-31,mai,2015,"56,8"
2015-06-30,juin,2015,"58,9"
2015-07-31,juillet,2015,"67,9"
2015-08-31,aout,2015,68
2015-09-30,septembre,2015,"68,3"
2015-10-31,octobre,2015,"61,8"
2015-11-30,novembre,2015,"56,8"
2015-12-31,decembre,2015,"53,9"
2016-01-31,janvier,2016,"54,3"
2016-02-29,fevrier,2016,"55,1"
2016-03-31,mars,2016,"57,9"
2016-04-30,avril,2016,"61,6"
2016-05-31,mai,2016,"63,1"
2016-06-30,juin,2016,"60,5"
2016-07-31,juillet,2016,"64,1"
2016-08-31,aout,2016,"58,5"
2016-09-30,septembre,2016,"51,8"
2016-10-31,octobre,2016,"47,1"
2016-11-30,novembre,2016,"36,1"
2016-12-31,decembre,2016,"34,7"
2017-01-31,janvier,2017,"36,6"
2017-02-28,fevrier,2017,"40,8"
2017-03-31,mars,2017,"48,4"
2017-04-30,avril,2017,"58,5"
2017-05-31,mai,2017,"48,8"
2017-06-30,juin,2017,"52,8"
2017-07-31,juillet,2017,"55,3"
2017-08-31,aout,2017,"53,2"
2017-09-30,septembre,2017,"46,3"
2017-10-31,octobre,2017,"38,8"
2017-11-30,novembre,2017,"30,2"
2017-12-31,decembre,2017,"29,2"
2018-01-31,janvier,2018,"23,9"
2018-02-28,fevrier,2018,"25,8"
2018-03-31,mars,2018,27
2018-04-30,avril,2018,"29,1"
2018-05-31,mai,2018,"19,8"
2018-06-30,juin,2018,"22,4"
2018-07-31,juillet,2018,"21,3"
2018-08-31,aout,2018,"23,3"
2018-09-30,septembre,2018,"17,8"
2018-10-31,octobre,2018,"15,4"
2018-11-30,novembre,2018,"12,5"
2018-12-31,decembre,2018,"14,8"
2019-01-31,janvier,2019,"14,3"
2019-02-28,fevrier,2019,"17,8"
2019-03-31,mars,2019,"28,4"
