Date,nom_ar,nom_fr,unite,valeur
2025-11-18 21:00:00,Pluie Totale,Pluie Totale,mm,825.2
2025-11-18 21:00:00,Pluie quotidienne,Pluie quotidienne,mm,2.6
2025-11-18 21:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-18 19:00:00,Pluie Totale,Pluie Totale,mm,825.2
2025-11-18 19:00:00,Pluie quotidienne,Pluie quotidienne,mm,2.6
2025-11-18 19:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,2.4
2025-11-18 04:00:00,Pluie quotidienne,Pluie quotidienne,mm,2.0
2025-11-18 04:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,2.4
2025-11-18 04:00:00,Pluie Totale,Pluie Totale,mm,824.6
2025-11-18 02:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.8
2025-11-18 02:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,4.8
2025-11-18 02:00:00,Pluie Totale,Pluie Totale,mm,823.4
2025-11-18 00:00:00,Pluie Totale,Pluie Totale,mm,822.6
2025-11-18 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-18 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-17 22:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-17 22:00:00,Pluie Totale,Pluie Totale,mm,822.6
2025-11-17 22:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.4
2025-11-17 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-17 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-17 00:00:00,Pluie Totale,Pluie Totale,mm,822.2
2025-11-16 00:00:00,Pluie Totale,Pluie Totale,mm,822.2
2025-11-16 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-16 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-15 00:00:00,Pluie Totale,Pluie Totale,mm,822.2
2025-11-15 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-15 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-14 00:00:00,Pluie Totale,Pluie Totale,mm,822.2
2025-11-14 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-14 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-13 00:00:00,Pluie Totale,Pluie Totale,mm,822.2
2025-11-13 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-11-13 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-07 00:00:00,Pluie Totale,Pluie Totale,mm,822.2
2025-11-07 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-11-07 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
