type_de_peche,annee,production_tonnes
صيد ساحلي,2017,301
صيد بالجر,2017,1540
صيد سمك أزرق,2017,719
بحيرة تونس الشمالية ,2017,103
صيد ساحلي,2018,"461,5"
صيد بالجر,2018,1878
صيد سمك أزرق,2018,986
بحيرة تونس الشمالية ,2018,"108,5"
صيد ساحلي,2019,"501,5"
صيد بالجر,2019,"1950,5"
صيد سمك أزرق,2019,"380,5"
بحيرة تونس الشمالية ,2019,"104,5"
صيد ساحلي,2020,310
صيد بالجر,2020,1185
صيد سمك أزرق,2020,446
بحيرة تونس الشمالية ,2020,138
صيد ساحلي,2021,491
صيد بالجر,2021,1165
صيد سمك أزرق,2021,365
بحيرة تونس الشمالية ,2021,100
