Date,Quantite_million_litre,Annee,Mois
2007-01-31,40.30,2007,janvier
2007-02-28,40.20,2007,fevrier
2007-03-31,49.70,2007,mars
2007-04-30,48.60,2007,avril
2007-05-31,47.10,2007,mai
2007-06-30,42.80,2007,juin
2007-07-31,41.30,2007,juillet
2007-08-31,40.60,2007,aout
2007-09-30,31.80,2007,septembre
2007-10-31,30.60,2007,octobre
2007-11-30,32.20,2007,novembre
2007-12-31,35.90,2007,decembre
2008-01-31,39.00,2008,janvier
2008-02-29,44.30,2008,fevrier
2008-03-31,50.90,2008,mars
2008-04-30,51.20,2008,avril
2008-05-31,52.10,2008,mai
2008-06-30,46.20,2008,juin
2008-07-31,42.70,2008,juillet
2008-08-31,41.00,2008,aout
2008-09-30,31.50,2008,septembre
2008-10-31,30.90,2008,octobre
2008-11-30,32.10,2008,novembre
2008-12-31,33.80,2008,decembre
2009-01-31,35.00,2009,janvier
2009-02-28,37.90,2009,fevrier
2009-03-31,46.70,2009,mars
2009-04-30,47.20,2009,avril
2009-05-31,51.50,2009,mai
2009-06-30,45.80,2009,juin
2009-07-31,41.80,2009,juillet
2009-08-31,37.80,2009,aout
2009-09-30,31.00,2009,septembre
2009-10-31,35.20,2009,octobre
2009-11-30,36.30,2009,novembre
2009-12-31,37.10,2009,decembre
2010-01-31,45.50,2010,janvier
2010-02-28,43.60,2010,fevrier
2010-03-31,53.20,2010,mars
2010-04-30,53.70,2010,avril
2010-05-31,52.90,2010,mai
2010-06-30,46.40,2010,juin
2010-07-31,42.60,2010,juillet
2010-08-31,38.00,2010,aout
2010-09-30,38.70,2010,septembre
2010-10-31,39.30,2010,octobre
2010-11-30,39.70,2010,novembre
2010-12-31,37.70,2010,decembre
2011-01-31,39.00,2011,janvier
2011-02-28,42.40,2011,fevrier
2011-03-31,48.10,2011,mars
2011-04-30,49.30,2011,avril
2011-05-31,51.50,2011,mai
2011-06-30,47.30,2011,juin
2011-07-31,46.00,2011,juillet
2011-08-31,40.10,2011,aout
2011-09-30,42.70,2011,septembre
2011-10-31,43.00,2011,octobre
2011-11-30,42.10,2011,novembre
2011-12-31,44.90,2011,decembre
2012-01-31,51.40,2012,janvier
2012-02-29,50.30,2012,fevrier
2012-03-31,60.50,2012,mars
2012-04-30,61.50,2012,avril
2012-05-31,63.00,2012,mai
2012-06-30,55.20,2012,juin
2012-07-31,49.90,2012,juillet
2012-08-31,46.60,2012,aout
2012-09-30,45.50,2012,septembre
2012-10-31,44.50,2012,octobre
2012-11-30,42.90,2012,novembre
2012-12-31,47.80,2012,decembre
2013-01-31,49.40,2013,janvier
2013-02-28,49.20,2013,fevrier
2013-03-31,58.00,2013,mars
2013-04-30,56.40,2013,avril
2013-05-31,56.20,2013,mai
2013-06-30,50.00,2013,juin
2013-07-31,44.60,2013,juillet
2013-08-31,48.80,2013,aout
2013-09-30,45.90,2013,septembre
2013-10-31,44.00,2013,octobre
2013-11-30,44.10,2013,novembre
2013-12-31,47.60,2013,decembre
2014-01-31,49.30,2014,janvier
2014-02-28,49.90,2014,fevrier
2014-03-31,58.40,2014,mars
2014-04-30,58.60,2014,avril
2014-05-31,65.10,2014,mai
2014-06-30,56.20,2014,juin
2014-07-31,49.30,2014,juillet
2014-08-31,52.50,2014,aout
2014-09-30,49.90,2014,septembre
2014-10-31,47.60,2014,octobre
2014-11-30,47.40,2014,novembre
2014-12-31,48.90,2014,decembre
2015-01-31,54.50,2015,janvier
2015-02-28,56.80,2015,fevrier
2015-03-31,63.10,2015,mars
2015-04-30,66.40,2015,avril
2015-05-31,70.10,2015,mai
2015-06-30,59.40,2015,juin
2015-07-31,56.80,2015,juillet
2015-08-31,55.40,2015,aout
2015-09-30,52.90,2015,septembre
2015-10-31,50.30,2015,octobre
2015-11-30,49.60,2015,novembre
2015-12-31,50.50,2015,decembre
2016-01-31,55.00,2016,janvier
2016-02-29,56.60,2016,fevrier
2016-03-31,59.10,2016,mars
2016-04-30,61.30,2016,avril
2016-05-31,66.40,2016,mai
2016-06-30,54.00,2016,juin
2016-07-31,58.60,2016,juillet
2016-08-31,57.70,2016,aout
2016-09-30,54.00,2016,septembre
2016-10-31,51.50,2016,octobre
2016-11-30,53.00,2016,novembre
2016-12-31,55.40,2016,decembre
2017-01-31,60.50,2017,janvier
2017-02-28,58.30,2017,fevrier
2017-03-31,68.30,2017,mars
2017-04-30,69.30,2017,avril
2017-05-31,67.90,2017,mai
2017-06-30,56.00,2017,juin
2017-07-31,61.60,2017,juillet
2017-08-31,55.30,2017,aout
2017-09-30,53.90,2017,septembre
2017-10-31,54.60,2017,octobre
2017-11-30,48.20,2017,novembre
2017-12-31,54.00,2017,decembre
2018-01-31,57.20,2018,janvier
2018-02-28,54.80,2018,fevrier
2018-03-31,63.00,2018,mars
2018-04-30,64.00,2018,avril
2018-05-31,56.80,2018,mai
2018-06-30,59.40,2018,juin
2018-07-31,54.30,2018,juillet
2018-08-31,52.20,2018,aout
2018-09-30,48.80,2018,septembre
2018-10-31,49.70,2018,octobre
2018-11-30,48.90,2018,novembre
2018-12-31,54.50,2018,decembre
2019-01-31,55.50,2019,janvier
2019-02-28,53.60,2019,fevrier
2019-03-31,66.00,2019,mars
