delegation,annee,superficie_irrigable_hectares,superficie_irriguee_hectares,superficie_exploitee_hectares
قرطاج,2016,5,5,7
الزهور,2016,10,6,6
الحرايرية,2016,52,"27,5",25
سيدي حسين,2016,313,200,"210,263"
الكرم,2016,2,0,0
المرسى,2016,90,50,73
قرطاج,2017,3,3,"4,25"
الزهور,2017,"10,5",4,8
الحرايرية,2017,"47,5",25,30
سيدي حسين,2017,314,256,"277,75"
الكرم,2017,2,0,0
المرسى,2017,95,64,84
قرطاج,2018,3,2,2
الزهور,2018,11,2,3
الحرايرية,2018,48,18,18
سيدي حسين,2018,316,228,255
الكرم,2018,0,0,0
المرسى,2018,90,50,55
