Dénomination;Zone_d'action ;siége_social;Date_de_création;Capital_Soc(M.D);Chiffre_aff(M.D);Nb_d'adherents;Nb_de_salariés;Activités;difficultés_et_observations
El Izdihar;Hzag;Hzag;1986-09-08;66,74;7467,768;204;28;Lait;Néant
Errahma;Tyna-Ag-Mah-M Chaker-Sf S;El Hajeb;1990-08-24;290,16;6048,486;162;17;Lait;reduction de la quantité du  lait collectée
El Bassatine;Sakit Edeyer;Essaltania;1990-08-24;43,9;1278,332;28;2;Aliment Bétail;Arrét activité lait dû à la difficulté financière
El Baraka;Cgaffar-Ithat chlaya;Bouakazain;1968-12-19;108,04;2460,836;142;13;Lait;reduction lait collecté-difficulté financière
Ennouhoudh;Belyana;Belyana;1992-06-05;49,95;1162,517;74;2;Aliment Bétail;Arrét activité lait-difficulté financière
El Achech;Menzel Chker;El Achech;1992-06-25;438,12;2336,304;249;1;Aliment Bétail;Arrét activité lait-difficulté financière
Cravis;Sfax;Kassa Numero 5;1991-01-30;170,29;758,739;118;4;Volaille;Activité limitée
El Karama;Bir Ali;Rass Fartout;2011-10-29;7,6;252,829;59;2;Volaille;Activité limitée
Upots;Sfax-Kairouan-Sidi Bouzid;Merkez Chaker;1941-08-22;17,76;0;147;2;Trituration olive;Arrét activité trituration-difficulté financière
Ennajeh;Mahares;Mahares;1959-08-15;18,375;0;34;0;Trituration olive;Activité tributaire au volume de production
El Ikhlass;Sfax;Port de Sfax;2009-10-01;57,7;180,402;41;3;Péche;Activité limitée
El Ittihad;Kerkennah;Erramla;2015-01-12;1,4;0;12;1;Péche;Activité limitée
