Date,Pluvio_du_jour,Cumul_du_mois,Cumul_moy_du_mois,Cumul_periode,Cumul_moy_periode,Cumul_mois_precedent,Cumul_periode_precedente,nom_ar,nom_fr,gouvernorat_ar,gouvernorat_fr,region_ar,region_fr,Latitude,Longitude,Altitude
2025-11-25,0,34.6,45.78666673815912,59.1,111.81555562582285,9,48.6,بوسالم,BOUSALEM DRE,جندوبة,Jendouba,الشمال الغربي,Nord-Ouest,36.599846,8.968515,0.00
2025-11-25,0.8,29.6,45.510000077486026,105.69999999999999,115.16800003021962,15.899999999999999,75.19999999999999,جندوبة,JENDOUBA,جندوبة,Jendouba,الشمال الغربي,Nord-Ouest,36.499091,8.794007,0.00
2025-11-25,0,0,7.592857174397934,1,23.87225918032452,0,30.7,رمادة,REMADA SM,تطاوين,Tataouine,الجنوب الشرقي,Sud-Est,32.315391,10.403298,0.00
2025-11-25,0,7,14.258139550685883,12,31.59714091592751,0,40.199999999999996,غمراسن,"GHOMRASSEN DELEG,",تطاوين,Tataouine,الجنوب الشرقي,Sud-Est,32.065988,10.347224,0.00
2025-11-25,0,0,12.316490513404503,9,32.3885810028781,0,72.6,تطاوين,TATAOUINE SM,تطاوين,Tataouine,الجنوب الشرقي,Sud-Est,32.927392,10.451446,0.00
2025-11-25,0,20,29.634000088721514,47.5,87.63469390319622,4,63.5,جربة حومة السوق,JERBA EL MAY SM,مدنين,Médenine,الجنوب الشرقي,Sud-Est,32.799485,10.887131,0.00
2025-11-25,0,2.9,33.3224488680764,60.5,87.16271261086838,0,31,جرجيس,ZARZIS VILLE SE 2,مدنين,Médenine,الجنوب الشرقي,Sud-Est,32.497974,11.117350,0.00
2025-11-25,0,0.8999999999999999,26.814285726267467,36.9,65.78626879827836,0,33.5,بن قردان,BEN GUERDANE 1 SM,مدنين,Médenine,الجنوب الشرقي,Sud-Est,32.160484,10.770229,0.00
2025-11-25,0,3,21.300000068254594,13.5,52.958536502064746,0,42.8,بني خداش,BENI KHEDECHE,مدنين,Médenine,الجنوب الشرقي,Sud-Est,32.245991,10.203218,0.00
2025-11-25,0,14.8,16.955999945402144,23.4,53.524000243246554,0,60.599999999999994,مدنين,MEDENINE 1 SM,مدنين,Médenine,الجنوب الشرقي,Sud-Est,32.335986,10.500219,0.00
