Date,nom_ar,nom_fr,unite,valeur
2025-09-26 20:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-09-26 20:00:00,Pluie Totale,Pluie Totale,mm,783.6
2025-09-26 20:00:00,Pluie quotidienne,Pluie quotidienne,mm,1.0
2025-09-26 19:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,2.4
2025-09-26 19:00:00,Pluie quotidienne,Pluie quotidienne,mm,1.0
2025-09-26 19:00:00,Pluie Totale,Pluie Totale,mm,783.6
2025-09-26 13:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-09-26 13:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.8
2025-09-26 13:00:00,Pluie Totale,Pluie Totale,mm,783.4
2025-09-26 12:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,2.4
2025-09-26 12:00:00,Pluie Totale,Pluie Totale,mm,783.4
2025-09-26 12:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.8
2025-09-26 11:00:00,Pluie Totale,Pluie Totale,mm,783.2
2025-09-26 11:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,2.4
2025-09-26 11:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.6
