Date,nom_ar,nom_fr,unite,valeur
2025-11-25 20:00:00,L'humidité du sol,L'humidité du sol,mV,835.1
2025-11-25 20:00:00,Température,Température,°C,15.5
2025-11-25 20:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,30.2
2025-11-25 20:00:00,L'humidité du sol,L'humidité du sol,mV,901.0
2025-11-25 18:00:00,Température,Température,°C,15.4
2025-11-25 18:00:00,L'humidité du sol,L'humidité du sol,mV,901.4
2025-11-25 18:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,30.3
2025-11-25 18:00:00,L'humidité du sol,L'humidité du sol,mV,835.5
2025-11-25 16:00:00,Température,Température,°C,15.4
2025-11-25 16:00:00,L'humidité du sol,L'humidité du sol,mV,902.2
2025-11-25 16:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,30.4
2025-11-25 16:00:00,L'humidité du sol,L'humidité du sol,mV,835.2
2025-11-25 14:00:00,Température,Température,°C,15.3
2025-11-25 14:00:00,L'humidité du sol,L'humidité du sol,mV,903.5
2025-11-25 14:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,30.6
2025-11-25 14:00:00,L'humidité du sol,L'humidité du sol,mV,835.6
2025-11-25 12:00:00,Température,Température,°C,15.3
2025-11-25 12:00:00,L'humidité du sol,L'humidité du sol,mV,905.4
2025-11-25 12:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,30.8
2025-11-25 12:00:00,L'humidité du sol,L'humidité du sol,mV,836.9
2025-11-25 11:00:00,L'humidité du sol,L'humidité du sol,mV,838.2
2025-11-25 11:00:00,L'humidité du sol,L'humidité du sol,mV,906.6
2025-11-25 11:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,31.0
2025-11-25 11:00:00,Température,Température,°C,15.3
2025-11-25 10:00:00,L'humidité du sol,L'humidité du sol,mV,838.8
2025-11-25 10:00:00,L'humidité du sol,L'humidité du sol,mV,907.3
2025-11-25 10:00:00,Température,Température,°C,15.3
2025-11-25 10:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,31.0
2025-11-25 08:00:00,Température,Température,°C,15.3
2025-11-25 08:00:00,L'humidité du sol,L'humidité du sol,mV,908.0
2025-11-25 08:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,31.1
2025-11-25 08:00:00,L'humidité du sol,L'humidité du sol,mV,839.8
2025-11-25 06:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,31.3
2025-11-25 06:00:00,L'humidité du sol,L'humidité du sol,mV,909.4
2025-11-25 06:00:00,Température,Température,°C,15.3
2025-11-25 06:00:00,L'humidité du sol,L'humidité du sol,mV,840.2
2025-11-25 04:00:00,L'humidité du sol,L'humidité du sol,mV,840.5
2025-11-25 04:00:00,L'humidité du sol,L'humidité du sol,mV,910.5
2025-11-25 04:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,31.4
2025-11-25 04:00:00,Température,Température,°C,15.4
2025-11-25 02:00:00,Température,Température,°C,15.4
2025-11-25 02:00:00,L'humidité du sol,L'humidité du sol,mV,910.7
2025-11-25 02:00:00,L'humidité du sol,L'humidité du sol,mV,841.0
2025-11-25 02:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,31.5
2025-11-25 00:00:00,L'humidité du sol,L'humidité du sol,mV,841.5
2025-11-25 00:00:00,L'humidité du sol,L'humidité du sol,mV,910.9
2025-11-25 00:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,31.5
2025-11-25 00:00:00,Température,Température,°C,15.4
2025-11-24 22:00:00,L'humidité du sol,L'humidité du sol,mV,841.9
2025-11-24 22:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,31.5
2025-11-24 22:00:00,Température,Température,°C,15.4
2025-11-24 22:00:00,L'humidité du sol,L'humidité du sol,mV,910.8
2025-11-24 20:00:00,L'humidité du sol,L'humidité du sol,mV,842.2
2025-11-24 20:00:00,L'humidité du sol,L'humidité du sol,mV,911.6
2025-11-24 20:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,31.6
2025-11-24 20:00:00,Température,Température,°C,15.4
2025-11-24 18:00:00,L'humidité du sol,L'humidité du sol,mV,842.8
2025-11-24 18:00:00,L'humidité du sol,L'humidité du sol,mV,911.6
2025-11-24 18:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,31.6
2025-11-24 18:00:00,Température,Température,°C,15.3
2025-11-24 16:00:00,Température,Température,°C,15.2
2025-11-24 16:00:00,L'humidité du sol,L'humidité du sol,mV,912.8
2025-11-24 16:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,31.7
2025-11-24 16:00:00,L'humidité du sol,L'humidité du sol,mV,843.3
2025-11-24 14:00:00,L'humidité du sol,L'humidité du sol,mV,844.7
2025-11-24 14:00:00,L'humidité du sol,L'humidité du sol,mV,914.0
2025-11-24 14:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,31.9
2025-11-24 14:00:00,Température,Température,°C,15.2
2025-11-24 12:00:00,L'humidité du sol,L'humidité du sol,mV,918.2
2025-11-24 12:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,32.4
2025-11-24 12:00:00,Température,Température,°C,15.2
2025-11-24 12:00:00,L'humidité du sol,L'humidité du sol,mV,846.1
2025-11-24 10:00:00,L'humidité du sol,L'humidité du sol,mV,919.5
2025-11-24 10:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,32.6
2025-11-24 10:00:00,Température,Température,°C,15.3
2025-11-24 10:00:00,L'humidité du sol,L'humidité du sol,mV,848.0
2025-11-24 08:00:00,L'humidité du sol,L'humidité du sol,mV,848.0
2025-11-24 08:00:00,L'humidité du sol,L'humidité du sol,mV,919.5
2025-11-24 08:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,32.6
2025-11-24 08:00:00,Température,Température,°C,15.3
2025-11-24 06:00:00,Température,Température,°C,15.4
2025-11-24 06:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,32.8
2025-11-24 06:00:00,L'humidité du sol,L'humidité du sol,mV,848.9
2025-11-24 06:00:00,L'humidité du sol,L'humidité du sol,mV,920.9
2025-11-24 05:00:00,L'humidité du sol,L'humidité du sol,mV,848.9
2025-11-24 05:00:00,L'humidité du sol,L'humidité du sol,mV,921.8
2025-11-24 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,32.9
2025-11-24 05:00:00,Température,Température,°C,15.4
2025-11-24 04:00:00,L'humidité du sol,L'humidité du sol,mV,849.3
2025-11-24 04:00:00,Température,Température,°C,15.4
2025-11-24 04:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,32.9
2025-11-24 04:00:00,L'humidité du sol,L'humidité du sol,mV,922.1
