Date,nom_ar,nom_fr,unite,valeur
2025-11-25 21:00:00,Vitesse du vent,Vitesse du vent,m/s,6.47
2025-11-25 21:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 21:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,911.4
2025-11-25 21:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 21:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-25 21:00:00,Point de Rosée,Point de Rosée,°C,4.5
2025-11-25 21:00:00,Humidité relative,Humidité relative,%,82.5
2025-11-25 21:00:00,Température,Température,°C,7.3
2025-11-25 21:00:00,Direction du vent,Direction du vent,Deg,318.8
2025-11-25 20:00:00,Température,Température,°C,7.5
2025-11-25 20:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 20:00:00,Point de Rosée,Point de Rosée,°C,5.3
2025-11-25 20:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,910.9
2025-11-25 20:00:00,Vitesse du vent,Vitesse du vent,m/s,7.62
2025-11-25 20:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 20:00:00,Humidité relative,Humidité relative,%,86.3
2025-11-25 20:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-25 20:00:00,Direction du vent,Direction du vent,Deg,324.7
2025-11-25 19:00:00,Point de Rosée,Point de Rosée,°C,6.0
2025-11-25 19:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-25 19:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 19:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,910.9
2025-11-25 19:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 19:00:00,Humidité relative,Humidité relative,%,90.5
2025-11-25 19:00:00,Température,Température,°C,7.5
2025-11-25 19:00:00,Direction du vent,Direction du vent,Deg,328.7
2025-11-25 19:00:00,Vitesse du vent,Vitesse du vent,m/s,7.61
2025-11-25 18:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 18:00:00,Point de Rosée,Point de Rosée,°C,7.3
2025-11-25 18:00:00,Humidité relative,Humidité relative,%,94.5
2025-11-25 18:00:00,Température,Température,°C,8.2
2025-11-25 18:00:00,Direction du vent,Direction du vent,Deg,341.4
2025-11-25 18:00:00,Vitesse du vent,Vitesse du vent,m/s,8.69
2025-11-25 18:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-25 18:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 18:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,910.4
2025-11-25 16:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,908.1
2025-11-25 16:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-25 16:00:00,Point de Rosée,Point de Rosée,°C,3.8
2025-11-25 16:00:00,Vitesse du vent,Vitesse du vent,m/s,7.76
2025-11-25 16:00:00,Humidité relative,Humidité relative,%,43.8
2025-11-25 16:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 16:00:00,Température,Température,°C,16.1
2025-11-25 16:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,65.0
2025-11-25 16:00:00,Direction du vent,Direction du vent,Deg,273.6
2025-11-25 14:00:00,Vitesse du vent,Vitesse du vent,m/s,4.47
2025-11-25 14:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-25 14:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 14:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,908.6
2025-11-25 14:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,375.0
2025-11-25 14:00:00,Point de Rosée,Point de Rosée,°C,2.0
2025-11-25 14:00:00,Humidité relative,Humidité relative,%,36.2
2025-11-25 14:00:00,Température,Température,°C,17.2
2025-11-25 14:00:00,Direction du vent,Direction du vent,Deg,266.4
2025-11-25 12:00:00,Vitesse du vent,Vitesse du vent,m/s,5.94
2025-11-25 12:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-25 12:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 12:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,910.1
2025-11-25 12:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,399.0
2025-11-25 12:00:00,Point de Rosée,Point de Rosée,°C,0.3
2025-11-25 12:00:00,Humidité relative,Humidité relative,%,35.9
2025-11-25 12:00:00,Température,Température,°C,15.3
2025-11-25 12:00:00,Direction du vent,Direction du vent,Deg,250.0
2025-11-25 10:00:00,Direction du vent,Direction du vent,Deg,219.8
2025-11-25 10:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-25 10:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 10:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,911.3
2025-11-25 10:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,196.0
2025-11-25 10:00:00,Point de Rosée,Point de Rosée,°C,-2.6
2025-11-25 10:00:00,Humidité relative,Humidité relative,%,32.4
2025-11-25 10:00:00,Température,Température,°C,13.5
2025-11-25 10:00:00,Vitesse du vent,Vitesse du vent,m/s,6.36
2025-11-25 09:00:00,Direction du vent,Direction du vent,Deg,228.8
2025-11-25 09:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-25 09:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 09:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,911.4
2025-11-25 09:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,173.0
2025-11-25 09:00:00,Point de Rosée,Point de Rosée,°C,-3.0
2025-11-25 09:00:00,Humidité relative,Humidité relative,%,34.9
2025-11-25 09:00:00,Température,Température,°C,11.9
2025-11-25 09:00:00,Vitesse du vent,Vitesse du vent,m/s,2.9
2025-11-25 08:00:00,Vitesse du vent,Vitesse du vent,m/s,3.07
2025-11-25 08:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 08:00:00,Humidité relative,Humidité relative,%,34.0
2025-11-25 08:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-25 08:00:00,Point de Rosée,Point de Rosée,°C,-3.7
2025-11-25 08:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,911.5
2025-11-25 08:00:00,Température,Température,°C,11.6
2025-11-25 08:00:00,Direction du vent,Direction du vent,Deg,257.3
2025-11-25 08:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,63.0
2025-11-25 07:00:00,Direction du vent,Direction du vent,Deg,227.8
2025-11-25 07:00:00,Humidité relative,Humidité relative,%,38.9
2025-11-25 07:00:00,Vitesse du vent,Vitesse du vent,m/s,2.98
2025-11-25 07:00:00,Température,Température,°C,9.8
2025-11-25 07:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-25 07:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 07:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,911.7
2025-11-25 07:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,2.0
2025-11-25 07:00:00,Point de Rosée,Point de Rosée,°C,-3.4
2025-11-25 06:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 06:00:00,Direction du vent,Direction du vent,Deg,203.3
2025-11-25 06:00:00,Vitesse du vent,Vitesse du vent,m/s,5.53
2025-11-25 06:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-25 06:00:00,Température,Température,°C,10.0
2025-11-25 06:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,911.6
2025-11-25 06:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 06:00:00,Point de Rosée,Point de Rosée,°C,-3.7
2025-11-25 06:00:00,Humidité relative,Humidité relative,%,37.7
2025-11-25 05:00:00,Température,Température,°C,10.5
2025-11-25 05:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-25 05:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 05:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,912.3
2025-11-25 05:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 05:00:00,Point de Rosée,Point de Rosée,°C,-3.9
2025-11-25 05:00:00,Humidité relative,Humidité relative,%,36.0
2025-11-25 05:00:00,Direction du vent,Direction du vent,Deg,248.1
2025-11-25 05:00:00,Vitesse du vent,Vitesse du vent,m/s,5.91
2025-11-25 04:00:00,Vitesse du vent,Vitesse du vent,m/s,4.66
2025-11-25 04:00:00,Humidité relative,Humidité relative,%,33.6
2025-11-25 04:00:00,Température,Température,°C,11.3
2025-11-25 04:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 04:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,913.0
2025-11-25 04:00:00,Point de Rosée,Point de Rosée,°C,-4.0
2025-11-25 04:00:00,Direction du vent,Direction du vent,Deg,229.7
2025-11-25 04:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-25 04:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 03:00:00,Vitesse du vent,Vitesse du vent,m/s,4.68
2025-11-25 03:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-25 03:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 03:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,913.6
2025-11-25 03:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 03:00:00,Point de Rosée,Point de Rosée,°C,-3.9
2025-11-25 03:00:00,Humidité relative,Humidité relative,%,35.0
2025-11-25 03:00:00,Température,Température,°C,10.9
2025-11-25 03:00:00,Direction du vent,Direction du vent,Deg,204.2
2025-11-25 02:00:00,Température,Température,°C,10.6
2025-11-25 02:00:00,Point de Rosée,Point de Rosée,°C,-3.9
2025-11-25 02:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-25 02:00:00,Vitesse du vent,Vitesse du vent,m/s,2.59
2025-11-25 02:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 02:00:00,Humidité relative,Humidité relative,%,35.7
2025-11-25 02:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,913.9
2025-11-25 02:00:00,Direction du vent,Direction du vent,Deg,224.8
2025-11-25 02:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 01:00:00,Direction du vent,Direction du vent,Deg,218.7
2025-11-25 01:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-25 01:00:00,Humidité relative,Humidité relative,%,36.4
2025-11-25 01:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 01:00:00,Température,Température,°C,10.1
2025-11-25 01:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,914.1
2025-11-25 01:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 01:00:00,Vitesse du vent,Vitesse du vent,m/s,5.16
2025-11-25 01:00:00,Point de Rosée,Point de Rosée,°C,-4.0
2025-11-25 00:00:00,Température,Température,°C,10.8
2025-11-25 00:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,914.7
2025-11-25 00:00:00,Direction du vent,Direction du vent,Deg,222.8
2025-11-25 00:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 00:00:00,Vitesse du vent,Vitesse du vent,m/s,4.24
2025-11-25 00:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-25 00:00:00,Humidité relative,Humidité relative,%,34.2
2025-11-25 00:00:00,Point de Rosée,Point de Rosée,°C,-4.3
2025-11-25 00:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-24 22:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-24 22:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-24 22:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,914.8
2025-11-24 22:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-24 22:00:00,Point de Rosée,Point de Rosée,°C,-4.1
2025-11-24 22:00:00,Humidité relative,Humidité relative,%,32.6
2025-11-24 22:00:00,Température,Température,°C,11.7
2025-11-24 22:00:00,Direction du vent,Direction du vent,Deg,222.4
2025-11-24 22:00:00,Vitesse du vent,Vitesse du vent,m/s,3.7
2025-11-24 21:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-24 21:00:00,Humidité relative,Humidité relative,%,30.4
2025-11-24 21:00:00,Vitesse du vent,Vitesse du vent,m/s,3.74
2025-11-24 21:00:00,Direction du vent,Direction du vent,Deg,218.6
2025-11-24 21:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,915.1
2025-11-24 21:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-24 21:00:00,Point de Rosée,Point de Rosée,°C,-4.0
2025-11-24 21:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-24 21:00:00,Température,Température,°C,12.9
2025-11-24 20:00:00,Point de Rosée,Point de Rosée,°C,-3.9
2025-11-24 20:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-24 20:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-24 20:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,915.1
2025-11-24 20:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-24 20:00:00,Humidité relative,Humidité relative,%,31.9
2025-11-24 20:00:00,Température,Température,°C,12.3
2025-11-24 20:00:00,Direction du vent,Direction du vent,Deg,249.4
2025-11-24 20:00:00,Vitesse du vent,Vitesse du vent,m/s,3.7
2025-11-24 19:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-24 19:00:00,Humidité relative,Humidité relative,%,33.1
2025-11-24 19:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-24 19:00:00,Température,Température,°C,12.7
2025-11-24 19:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,915.1
2025-11-24 19:00:00,Vitesse du vent,Vitesse du vent,m/s,3.42
2025-11-24 19:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-24 19:00:00,Direction du vent,Direction du vent,Deg,219.9
2025-11-24 19:00:00,Point de Rosée,Point de Rosée,°C,-3.0
2025-11-24 18:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,915.1
2025-11-24 18:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-24 18:00:00,Point de Rosée,Point de Rosée,°C,-3.0
2025-11-24 18:00:00,Humidité relative,Humidité relative,%,31.1
2025-11-24 18:00:00,Température,Température,°C,13.7
2025-11-24 18:00:00,Direction du vent,Direction du vent,Deg,235.8
2025-11-24 18:00:00,Vitesse du vent,Vitesse du vent,m/s,3.21
2025-11-24 18:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-24 18:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-24 17:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-24 17:00:00,Humidité relative,Humidité relative,%,28.2
2025-11-24 17:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-24 17:00:00,Température,Température,°C,15.1
2025-11-24 17:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,914.9
2025-11-24 17:00:00,Vitesse du vent,Vitesse du vent,m/s,3.63
2025-11-24 17:00:00,Point de Rosée,Point de Rosée,°C,-3.1
2025-11-24 17:00:00,Direction du vent,Direction du vent,Deg,210.0
2025-11-24 17:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,5.0
2025-11-24 16:00:00,Direction du vent,Direction du vent,Deg,257.6
2025-11-24 16:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-11-24 16:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-24 16:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,914.8
2025-11-24 16:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,145.0
2025-11-24 16:00:00,Point de Rosée,Point de Rosée,°C,-3.1
