ISN;Nom;Année;Titre;support
1;TANAKTI Rahma;2018;Dynamique saisonnière et distribution spatiale des espèces bactériennes du genre Anaplasma infectant les bovins du nord de la Tunisie;pdf
2; LTAIEF Houda;2018;CONTRIBUTION A L’ETUDE DE LA QUALITE BACTERIOLOGIQUE DES ABATS DE PETITS RUMINANTS;pdf
3; RBHI Aymen;2018;LA TUBERCULOSE BOVINE ET SON DANGER POUR L'OMME;Non
4; NAJAHI Khaoula;2018;ENQUÊTE DE PERCEPTION DE LA LEISHMANIOSE AUPRES DES PROPRIETAIRES DE CHIENS PRESENTES EN CONSULTATION A L'ECOLE NATIONALE DE MEDECINE VETERINAIRE DE SIDI THABET;pdf
5; MHAMDI Sfafa;2018;IMAGERIE MEDICALE DE L'ŒIL DU CHIEN;pdf
6; MKADEM Emna;2018;CONTRIBUTION A L’ETUDE LESIONNELLE DE LA MALADIE DE MARKE CHEZ LE POULET FERMIER;Non
7;BEN YOUNES  Karim;2017;EFFETS D'UNE SUPPLEMENTATION EN EXTRAITS DE FERMENTATION PROBIOTIQUES SUR LA PRODUCTION ET QUALITE DU LAIT CHEZ VACHE LAITIERE;Non
8; KHALED Nada;2018;LES STRONGYLOSES RESPIRATOIRES DES PETITS RUMINANTS EN TUNISIE : REVUE BIBLIOGRAPHIQUE;pdf
9; FATHI Slim;2017;ETUDE MOLECULAIRE DE LA PREVALENCE D’ANAPLASMA BOVIS CHEZ DES CHEVRES DES GOUVERNORATS DU NORD DE LA TUNISIE;pdf
10; LABIDI Amani;2017;PROGRAMME NATIONAL DE LUTTE ANTIRABIQUE :INFORMATION SUR LES ACTION ET ESTIMATION DES COUTS;pdf
11; MISSAOUI Sarra;2017;CONTRIBUTION A L'ETUDE EPIDEMIOLOGIQUE D LA BRUCELLOSE ZOONOS DNS LA REGION DE SIDI BOUZID;pdf
12; JEMLI Bayen;2017;ENQUETE SUR LES PRATIQUES ALIMENTAIRES DANS LES ELEVAGES AQUACOLES TUNISIENS DE LOUP MARIN (Dicentrarchus labrax) ET DE DAURADE ROYALE (Sparus aurata);pdf
13;kHaoula BEN SALAH ;2017;ETUDE DE LA PRVALENC REGIONALE DE L’INFESTATION PAR DERMANYSSUS GALLINAE DANS DES ELVAGES DU GRAND TUNIS (NORD DE LA TUNISE);Non
14;Adnen DKHIL;2017;Analyse séro-épidémiologique de la relation de causalité entre l’infection par Coxiella burnetii et les avortements des ruminants domestiques dans la région d’Utique;pdf
