Anne-programme;Nom-fr;Nom-ar;Delegation;Secteur;Cap-init_m3;Cap-Sed_M3 ;Sup-BV_ha;Cout_paye_milleDT;Equip;Objectif;Financement;Latitude-UTM_m;Longitude-UTM_m;Latitude_DD;Longitude_DD
1988;Bir El Krouna;بير الكرونة;NEFZA;Jamila;35000;0;40;32000,000;Non;Protection;ODESYPANO;505967;4088589;36.941878532;9.066135869
1988;Tabbouba;الطبوبة;NEFZA;Tebaba;30000;30000;NA;NA;Non;Protection;ODESYPANO;506409;4089238;36.95200000;9.07200000
1990;Sidi Mbarek;سيدي مبارك;BEJA NORD;El Munchar;96000;67000;187;87100,000;Oui;Exploitation;PN;528239;4062713;36.727300402;9.324551092
1991;O. El Ouaer;وادي الواعر;GOUBELLAT;Gammarti;67000;0;100;143900,000;non;Exploitation;PN;557642;4045836;36.554647821;9.643674806
1991;O. El - Mourra;وادي المرة;GOUBELLAT;Grem;68000;41000;200;163700,000;non;Protection;PN;555090;4043824;36.535935722;9.615781285
1992;Ain  Elharra;عين الحارة;BEJA SUD;Sidi Smail;160000;48000;165;218500,000;Oui;Protection;CEE;514526;4047333;36.570294946;9.161119313
1992;Dar Rouman;دار رومان;TESTOUR;Zeldou;40000;0;66;40000,000;Non;Protection;ODESYPANO;522230;4046601;36.563239955;9.248161246
1992;Dmina1;دمينة 1;BEJA SUD;Zouagha;8000;0;50;19300,000;Oui;Exploitation;CEE;509996;4058231;36.668228354;9.111278863
1992;Dmina2;دمينة 2;BEJA SUD;Zouagha;5000;0;30;17700,000;Oui;Exploitation;CEE;510296;4057709;36.662860504;9.115411372
1992;O. El Boul;وادي البول;BEJA NORD;El Munchar;125000;75000;110;176200,000;Oui;Exploitation;CEE;528175;4062911;36.708160891;9.314830527
1992;Ain Hamra;عين الحمراء;TEBOURSOUK;Ain melliti;60000;9000;225;175800,000;Non;Exploitation;CEE;516348;4040257;36.505886261;9.182851083
1992;O.El Melah;وادي المالح;MEDJEZ EL BAB;Toukaber;90000;32000;216;167700,000;Non;Exploitation;CEE;545132;4063698;36.725513056;9.512403953
