Date,nom_ar,nom_fr,unite,valeur
2025-11-25 21:00:00,Humidité relative,Humidité relative,%,100.0
2025-11-25 21:00:00,Point de Rosée,Point de Rosée,°c,13.2
2025-11-25 21:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 21:00:00,Pression atmosphérique,Pression atmosphérique,hPa,966.2
2025-11-25 21:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 21:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.37
2025-11-25 21:00:00,Vitesse du vent,Vitesse du vent,m/s,3.5
2025-11-25 21:00:00,Direction du vent,Direction du vent,Deg,351.4
2025-11-25 21:00:00,Température,Température,°c,13.2
2025-11-25 19:00:00,Point de Rosée,Point de Rosée,°c,13.3
2025-11-25 19:00:00,Température,Température,°c,13.3
2025-11-25 19:00:00,Direction du vent,Direction du vent,Deg,255.3
2025-11-25 19:00:00,Vitesse du vent,Vitesse du vent,m/s,2.56
2025-11-25 19:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.37
2025-11-25 19:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 19:00:00,Pression atmosphérique,Pression atmosphérique,hPa,966.2
2025-11-25 19:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 19:00:00,Humidité relative,Humidité relative,%,100.0
2025-11-25 17:00:00,Point de Rosée,Point de Rosée,°c,16.1
2025-11-25 17:00:00,Température,Température,°c,16.1
2025-11-25 17:00:00,Direction du vent,Direction du vent,Deg,224.7
2025-11-25 17:00:00,Vitesse du vent,Vitesse du vent,m/s,7.79
2025-11-25 17:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.37
2025-11-25 17:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 17:00:00,Pression atmosphérique,Pression atmosphérique,hPa,966.2
2025-11-25 17:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,11.0
2025-11-25 17:00:00,Humidité relative,Humidité relative,%,100.0
2025-11-25 15:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.37
2025-11-25 15:00:00,Température,Température,°c,19.3
2025-11-25 15:00:00,Direction du vent,Direction du vent,Deg,214.9
2025-11-25 15:00:00,Vitesse du vent,Vitesse du vent,m/s,5.18
2025-11-25 15:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 15:00:00,Pression atmosphérique,Pression atmosphérique,hPa,966.2
2025-11-25 15:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,255.0
2025-11-25 15:00:00,Point de Rosée,Point de Rosée,°c,19.3
2025-11-25 15:00:00,Humidité relative,Humidité relative,%,100.0
2025-11-25 13:00:00,Humidité relative,Humidité relative,%,100.0
2025-11-25 13:00:00,Température,Température,°c,18.7
2025-11-25 13:00:00,Direction du vent,Direction du vent,Deg,216.2
2025-11-25 13:00:00,Vitesse du vent,Vitesse du vent,m/s,4.58
2025-11-25 13:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.37
2025-11-25 13:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 13:00:00,Pression atmosphérique,Pression atmosphérique,hPa,966.2
2025-11-25 13:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,312.0
2025-11-25 13:00:00,Point de Rosée,Point de Rosée,°c,18.7
2025-11-25 11:00:00,Point de Rosée,Point de Rosée,°c,14.3
2025-11-25 11:00:00,Température,Température,°c,14.3
