Date,nom_ar,nom_fr,unite,valeur
2025-11-25 20:00:00,Vitesse du vent,Vitesse du vent,m/s,6.21
2025-11-25 20:00:00,Direction du vent,Direction du vent,Deg,321.5
2025-11-25 20:00:00,Température,Température,°c,13.3
2025-11-25 20:00:00,Humidité relative,Humidité relative,%,66.2
2025-11-25 20:00:00,Point de Rosée,Point de Rosée,°c,7.1
2025-11-25 20:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 20:00:00,Pression atmosphérique,Pression atmosphérique,hPa,977.6
2025-11-25 20:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 20:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,1.22
2025-11-25 18:00:00,Direction du vent,Direction du vent,Deg,340.4
2025-11-25 18:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,1.22
2025-11-25 18:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 18:00:00,Pression atmosphérique,Pression atmosphérique,hPa,976.8
2025-11-25 18:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 18:00:00,Point de Rosée,Point de Rosée,°c,7.1
2025-11-25 18:00:00,Humidité relative,Humidité relative,%,64.6
2025-11-25 18:00:00,Température,Température,°c,13.7
2025-11-25 18:00:00,Vitesse du vent,Vitesse du vent,m/s,4.8
2025-11-25 16:00:00,Direction du vent,Direction du vent,Deg,255.5
2025-11-25 16:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,1.22
2025-11-25 16:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 16:00:00,Pression atmosphérique,Pression atmosphérique,hPa,974.1
2025-11-25 16:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,118.0
2025-11-25 16:00:00,Point de Rosée,Point de Rosée,°c,2.6
2025-11-25 16:00:00,Humidité relative,Humidité relative,%,26.6
2025-11-25 16:00:00,Température,Température,°c,22.8
2025-11-25 16:00:00,Vitesse du vent,Vitesse du vent,m/s,2.33
2025-11-25 14:00:00,Direction du vent,Direction du vent,Deg,219.5
2025-11-25 14:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,1.22
2025-11-25 14:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 14:00:00,Pression atmosphérique,Pression atmosphérique,hPa,974.3
2025-11-25 14:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,408.0
2025-11-25 14:00:00,Point de Rosée,Point de Rosée,°c,2.6
2025-11-25 14:00:00,Humidité relative,Humidité relative,%,24.6
2025-11-25 14:00:00,Température,Température,°c,24.1
2025-11-25 14:00:00,Vitesse du vent,Vitesse du vent,m/s,1.43
2025-11-25 12:00:00,Vitesse du vent,Vitesse du vent,m/s,5.06
2025-11-25 12:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,1.22
2025-11-25 12:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 12:00:00,Pression atmosphérique,Pression atmosphérique,hPa,976.3
2025-11-25 12:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,489.0
2025-11-25 12:00:00,Point de Rosée,Point de Rosée,°c,0.0
2025-11-25 12:00:00,Humidité relative,Humidité relative,%,23.3
2025-11-25 12:00:00,Température,Température,°c,21.9
2025-11-25 12:00:00,Direction du vent,Direction du vent,Deg,265.1
2025-11-25 10:00:00,Vitesse du vent,Vitesse du vent,m/s,1.66
2025-11-25 10:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,1.22
2025-11-25 10:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 10:00:00,Pression atmosphérique,Pression atmosphérique,hPa,978.0
2025-11-25 10:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,353.0
2025-11-25 10:00:00,Point de Rosée,Point de Rosée,°c,-3.0
2025-11-25 10:00:00,Humidité relative,Humidité relative,%,21.2
2025-11-25 10:00:00,Température,Température,°c,19.7
2025-11-25 10:00:00,Direction du vent,Direction du vent,Deg,314.1
2025-11-25 08:00:00,Direction du vent,Direction du vent,Deg,185.1
2025-11-25 08:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,1.22
2025-11-25 08:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 08:00:00,Pression atmosphérique,Pression atmosphérique,hPa,978.6
2025-11-25 08:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,61.0
2025-11-25 08:00:00,Point de Rosée,Point de Rosée,°c,-2.7
2025-11-25 08:00:00,Humidité relative,Humidité relative,%,29.5
2025-11-25 08:00:00,Température,Température,°c,14.9
2025-11-25 08:00:00,Vitesse du vent,Vitesse du vent,m/s,2.51
2025-11-25 02:00:00,Vitesse du vent,Vitesse du vent,m/s,1.4
2025-11-25 02:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,1.22
2025-11-25 02:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 02:00:00,Pression atmosphérique,Pression atmosphérique,hPa,980.6
2025-11-25 02:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-11-25 02:00:00,Point de Rosée,Point de Rosée,°c,-2.7
2025-11-25 02:00:00,Humidité relative,Humidité relative,%,24.4
2025-11-25 02:00:00,Température,Température,°c,17.8
2025-11-25 02:00:00,Direction du vent,Direction du vent,Deg,261.0
2025-11-25 00:00:00,Vitesse du vent,Vitesse du vent,m/s,1.31
2025-11-25 00:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,2.93
2025-11-25 00:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-11-25 00:00:00,Pression atmosphérique,Pression atmosphérique,hPa,981.5
