Date,Prix_min,Prix_max,Prix_moyen
2022-12-22,6500,7500,6990.0
2022-12-21,7200,7500,7299.5
2022-12-20,6672,7200,6890.7
2022-12-19,6500,7200,7000.0
2022-12-18,6500,7200,6980.0
2022-12-17,6500,7200,6955.3
2022-12-16,6300,7200,6924.0
2022-12-15,6500,7200,6918.7
2022-12-14,6700,7300,6993.1
2022-12-13,6700,7300,6959.0
2022-12-12,6800,7200,7098.0
2022-12-11,6800,7200,6986.3
2022-12-10,6800,7200,7000.8
2022-12-09,6700,7500,7110.2
2022-12-08,6809,7500,7067.8
2022-12-07,7000,7500,7277.8
2022-12-06,6733,7500,7182.0
2022-12-05,6172,7800,7055.2
2022-12-04,6800,7800,7231.8
2022-12-03,6800,7800,7244.8
2022-12-02,7000,7600,7230.2
2022-12-01,6800,7600,7192.3
2022-11-30,6800,7600,7151.8
2022-11-29,6800,7600,7144.7
2022-11-28,6632,7300,6920.1
2022-11-27,5800,7300,6422.2
2022-11-26,5800,7300,6422.2
2022-11-25,5800,7300,6194.4
2022-11-24,5800,7300,6387.3
2022-11-23,6000,6900,6393.4
2022-11-22,6000,7600,6548.8
2022-11-21,6000,7600,6549.5
2022-11-20,6719,7600,7046.5
2022-11-19,6719,7600,7048.8
2022-11-18,6719,8100,7189.8
2022-11-17,7498,8100,7677.8
2022-11-16,7519,8200,7937.0
2022-11-15,7800,8800,8141.2
2022-11-14,7800,8819,8322.0
2022-11-13,7800,8819,8348.5
2022-11-12,7800,8819,8348.5
2022-11-11,7800,9100,8622.5
2022-11-10,7800,9750,8853.2
2022-11-09,8300,9500,8917.2
2022-11-08,8300,9600,8886.8
2022-11-07,8300,9458,8846.2
2022-11-06,8300,9406,8754.2
2022-11-05,8300,9406,8754.2
2022-11-04,8300,9538,8808.1
2022-11-03,8300,9297,8842.3
2022-11-02,8300,9615,8885.7
2022-11-01,8300,9500,8858.2
2022-10-31,8500,9500,8956.3
2022-10-30,8500,9739,8993.4
2022-10-29,8500,9739,8993.4
2022-10-28,8500,9266,8922.0
2022-10-27,8500,9500,8956.0
2022-10-26,8500,9015,8791.2
2022-10-25,8500,9800,9099.7
2022-10-24,8500,9500,9011.1
2022-10-23,8500,9500,8972.6
2022-10-22,8500,9500,8972.6
2022-10-21,9000,9600,9316.0
2022-10-20,9015,10000,9512.2
2022-10-19,9115,10000,9525.6
2022-10-18,9115,10000,9525.4
2022-10-17,9500,10000,9638.2
2022-10-16,9418,10000,9676.6
2022-10-15,9418,10000,9676.6
2022-10-14,9500,10159,9812.3
2022-10-13,9500,10500,9921.7
2022-10-12,9500,10600,10076.0
2022-10-11,9500,10800,10043.2
2022-10-10,9500,10800,10134.0
2022-10-09,9500,10800,10120.0
2022-10-08,9500,9948,9666.0
2022-10-07,9200,11200,10039.8
2022-10-06,9200,11200,10205.6
2022-10-05,8800,11200,10109.2
2022-10-04,8800,10800,10084.7
2022-10-03,8800,10800,10025.4
2022-10-02,8800,10600,9969.2
2022-10-01,8800,10600,9969.2
2022-09-30,8800,10600,10021.7
2022-09-29,8800,10651,10066.8
2022-09-28,8800,10600,9906.7
2022-09-27,9000,10500,10149.2
2022-09-26,8800,10500,9812.3
2022-09-25,8800,10500,9637.5
2022-09-24,8800,10500,9637.5
2022-09-23,8800,10300,9530.0
2022-09-22,8800,10000,9414.2
2022-09-21,8800,10300,9516.3
2022-09-20,8800,10370,9567.7
2022-09-19,8800,9900,9287.5
2022-09-18,8800,9500,9107.0
2022-09-17,8800,9500,9107.0
2022-09-16,8800,9274,9020.7
2022-09-15,8567,9000,8902.8
2022-09-14,8800,9000,8968.8
2022-09-13,8939,9500,9073.2
2022-09-12,8800,9000,8963.8
2022-09-11,8000,9000,8603.8
2022-09-10,8000,9000,8603.8
2022-09-09,8000,9000,8714.0
2022-09-08,8000,9000,8712.8
2022-09-07,8300,9000,8810.0
2022-09-06,8300,9000,8696.0
2022-09-05,8500,9000,8803.3
2022-09-04,8700,9000,8873.7
2022-09-03,8700,9000,8848.0
2022-09-02,8700,9300,8903.3
2022-09-01,8700,9000,8850.0
2022-08-31,7900,9000,8751.6
2022-08-30,7900,9300,8743.2
2022-08-29,8383,9300,8813.8
2022-08-28,8700,9300,8950.0
2022-08-27,8383,9300,8836.6
2022-08-26,8434,9300,8666.8
2022-08-25,7500,9300,8503.7
2022-08-24,7500,8800,8230.3
2022-08-23,7500,8800,8286.4
2022-08-22,7500,8700,8044.0
2022-08-21,7400,8400,7785.8
2022-08-20,7400,8400,7785.8
2022-08-19,7300,8400,7856.4
2022-08-18,7200,7500,7375.0
2022-08-17,7200,8000,7528.2
2022-08-16,7000,7700,7375.0
2022-08-15,6124,7800,7104.0
2022-08-14,6300,7500,6980.2
2022-08-13,6651,7500,7060.2
2022-08-12,6000,7400,6816.7
2022-08-11,6000,7400,6812.7
2022-08-10,6000,7000,6474.0
2022-08-09,5500,6600,6078.2
2022-08-08,6000,6600,6312.4
2022-08-07,5648,6500,5962.0
2022-08-06,5645,6500,5961.2
2022-08-05,5500,6500,5953.2
2022-08-04,5500,6400,6057.5
2022-08-03,5920,6300,6042.5
2022-08-02,5439,6400,5997.8
2022-08-01,5700,6300,5952.0
2022-07-31,5300,6300,5828.2
2022-07-30,5300,6300,5828.2
2022-07-29,5000,6300,5615.8
2022-07-28,5000,6300,5508.8
2022-07-27,5000,6300,5489.0
2022-07-26,5200,6300,5515.5
