Date,PrixMin_Nord,PrixMax_Nord,PrixMoyen_Nord,PrixMin_Centre,PrixMax_Centre,PrixMoyen_Centre,PrixMin_Sud,PrixMax_Sud,PrixMoyen_Sud,Prix_Moyen
2022-12-23,4400,4600,4492.9,4500,4800,4650.0,4600,4800,4720.0,4559.9
2022-12-22,4500,4700,4578.6,4600,4700,4625.0,4600,4700,4670.0,4601.9
2022-12-21,4700,4800,4737.5,4600,4800,4700.0,4700,4700,4700.0,4723.9
2022-12-20,4900,5000,4907.1,4600,4800,4716.7,4800,4800,4800.0,4850.1
2022-12-19,5000,5100,5028.6,4800,4800,4800.0,4800,4900,4850.0,4952.9
2022-12-18,4900,5100,5014.3,4800,4800,4800.0,4900,4900,4900.0,4951.0
2022-12-17,4900,5100,5014.3,4800,4800,4800.0,5000,5000,5000.0,4965.3
2022-12-16,4900,5100,5035.7,4800,4900,4833.3,5000,5100,5045.0,4992.8
2022-12-15,5000,5100,5057.1,4900,5000,4916.7,5000,5100,5075.0,5029.0
2022-12-14,5000,5200,5057.1,5000,5000,5000.0,5100,5200,5150.0,5058.0
2022-12-13,5100,5300,5178.6,5000,5000,5000.0,5200,5300,5275.0,5153.4
2022-12-12,5100,5300,5214.3,5200,5200,5200.0,5300,5400,5360.0,5232.1
2022-12-11,5100,5300,5207.1,4900,5000,4983.3,5300,5400,5350.0,5178.7
2022-12-10,5100,5300,5221.4,4900,5000,4983.3,5300,5400,5325.0,5184.2
2022-12-09,4900,5300,5087.5,4800,4900,4833.3,5000,5000,5000.0,5019.3
2022-12-08,4700,4800,4750.0,4600,4800,4733.3,5000,5000,5000.0,4782.3
2022-12-07,4800,4900,4825.0,4800,5000,4933.3,5000,5000,5000.0,4873.9
2022-12-06,4900,5000,4975.0,4900,5000,4975.0,5000,5100,5033.3,4983.4
2022-12-05,5200,5400,5342.9,5100,5300,5200.0,5100,5200,5175.0,5287.5
2022-12-04,5300,5500,5428.6,5100,5300,5200.0,5200,5500,5345.0,5366.5
2022-12-03,5300,5500,5385.7,5100,5300,5200.0,5200,5300,5275.0,5329.2
2022-12-02,5100,5300,5225.0,4900,5000,4950.0,4500,4700,4670.0,5085.0
2022-12-01,4600,4800,4700.0,4300,4500,4433.3,4300,4500,4380.0,4595.6
2022-11-30,4400,4600,4514.3,4200,4300,4283.3,4300,4400,4330.0,4437.2
2022-11-29,4400,4600,4528.6,4300,4400,4383.3,4500,4500,4500.0,4492.7
2022-11-28,4500,4600,4535.7,4500,4500,4500.0,4500,4500,4500.0,4522.8
2022-11-27,4500,4600,4550.0,4500,4500,4500.0,4500,4600,4525.0,4535.5
2022-11-26,4300,4500,4421.4,4500,4500,4500.0,4500,4600,4550.0,4457.1
2022-11-25,4300,4500,4371.4,4500,4600,4533.3,4500,4700,4655.0,4447.6
2022-11-24,4000,4300,4141.7,4500,4600,4550.0,4500,4600,4560.0,4291.2
2022-11-23,3800,3900,3850.0,4000,4200,4083.3,4100,4300,4220.0,3954.3
2022-11-22,3700,3800,3757.1,3900,4000,3987.5,4000,4100,4050.0,3849.7
2022-11-21,3800,3900,3857.1,3900,4000,3962.5,4000,4300,4090.0,3913.7
2022-11-20,3900,4000,3942.9,3900,4000,3962.5,4000,4300,4090.0,3968.3
2022-11-19,3900,4000,3950.0,3900,4000,3962.5,4200,4300,4240.0,3994.5
2022-11-18,3800,4100,3971.4,4100,4200,4183.3,4200,4300,4290.0,4063.6
2022-11-17,3600,3800,3685.7,3800,4000,3833.3,3800,3900,3830.0,3738.8
2022-11-16,3600,3700,3657.1,3700,3800,3750.0,3800,3800,3800.0,3698.0
2022-11-15,3800,3900,3821.4,3700,3800,3712.5,3800,3800,3800.0,3794.5
2022-11-14,3800,3900,3871.4,3800,3800,3800.0,3800,3800,3800.0,3845.5
2022-11-13,3800,3900,3871.4,3900,4000,3962.5,4000,4000,4000.0,3909.8
2022-11-12,3800,3900,3864.3,4000,4000,4000.0,4000,4000,4000.0,3913.5
2022-11-11,3800,4000,3900.0,3800,4000,3866.7,4000,4000,4000.0,3907.1
2022-11-10,3800,4000,3914.3,3900,4000,3975.0,4000,4000,4000.0,3939.9
2022-11-09,3900,4000,3971.4,4000,4000,4000.0,4000,4100,4065.0,3991.1
2022-11-08,4000,4200,4142.9,4000,4100,4050.0,4200,4300,4250.0,4138.0
2022-11-07,4300,4500,4414.3,4300,4500,4433.3,4400,4500,4410.0,4417.8
2022-11-06,4300,4500,4378.6,4500,4500,4500.0,4300,4300,4300.0,4393.8
2022-11-05,3900,4400,4071.4,4200,4500,4333.3,4100,4200,4170.0,4142.9
2022-11-04,3900,4100,3978.6,4200,4200,4200.0,4000,4100,4050.0,4037.3
2022-11-03,4000,4100,4028.6,4200,4300,4240.0,4300,4400,4305.0,4114.6
2022-11-02,4400,4500,4450.0,4300,4300,4300.0,4400,4500,4425.0,4413.6
2022-11-01,4500,4700,4607.1,4500,4700,4583.3,4500,4700,4600.0,4600.9
2022-10-31,4500,4700,4635.7,4500,4700,4575.0,4700,4800,4785.0,4643.9
2022-10-30,4500,4700,4607.1,4300,4500,4375.0,4700,4800,4785.0,4581.9
2022-10-29,4300,4700,4492.9,4300,4500,4375.0,4500,4500,4500.0,4468.1
2022-10-28,4300,4500,4400.0,4000,4300,4150.0,4100,4200,4150.0,4309.3
