Date,nom_ar,nom_fr,unite,valeur
2025-10-24 07:00:00,Température,Température,°C,20.7
2025-10-24 07:00:00,L'humidité du sol,L'humidité du sol,mV,758.0
2025-10-24 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,16.7
2025-10-24 06:00:00,Température,Température,°C,20.8
2025-10-24 06:00:00,L'humidité du sol,L'humidité du sol,mV,758.4
2025-10-24 06:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,16.7
2025-10-24 05:00:00,Température,Température,°C,20.8
2025-10-24 05:00:00,L'humidité du sol,L'humidité du sol,mV,758.2
2025-10-24 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,16.7
2025-10-24 04:00:00,Température,Température,°C,20.8
2025-10-24 04:00:00,L'humidité du sol,L'humidité du sol,mV,758.6
2025-10-24 04:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,16.7
2025-10-24 03:00:00,Température,Température,°C,20.8
2025-10-24 03:00:00,L'humidité du sol,L'humidité du sol,mV,758.5
2025-10-24 03:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,16.7
2025-10-24 02:00:00,Température,Température,°C,20.8
2025-10-24 02:00:00,L'humidité du sol,L'humidité du sol,mV,758.5
2025-10-24 02:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,16.7
2025-10-24 01:00:00,Température,Température,°C,20.8
2025-10-24 01:00:00,L'humidité du sol,L'humidité du sol,mV,758.9
2025-10-24 01:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,16.7
2025-10-24 00:00:00,Température,Température,°C,20.8
2025-10-24 00:00:00,L'humidité du sol,L'humidité du sol,mV,758.8
2025-10-24 00:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,16.7
