Gouvernorat,Delegation,Commune,Secteur,Superficie,Habitants_2004,Menage_2004,Habitants_2014,Menage_2014
Beja,Amdoun,Zahret Medien,Beni Malek,2438,1613,325,1658,372
Beja,Amdoun,Zahret Medien,Fraijia,1164,1037,204,763,178
Beja,Amdoun,Zahret Medien,Ghozia,1959,1714,338,1571,331
Beja,Amdoun,Zahret Medien,Hamra,2740,1618,365,1485,348
Beja,Amdoun,Zahret Medien,Jouza,1479,1109,216,837,174
Beja,Amdoun,Zahret Medien,Mjeles,1533,942,192,903,192
Beja,Amdoun,Zahret Medien,Zahret Medien Sud,1818,2815,617,3187,753
Beja,Beja Sud,Sidi Smail,Mestouta,4038,1673,352,1759,418
Beja,Beja Sud,Maagoula,Mkhachbia,8901,2346,496,2332,550
Beja,Beja Sud,Sidi Smail,Sidi Smail,6476,5495,1180,5393,1385
Beja,Goubellat,Goubellat,Bir Ech,7990,1421,259,1618,425
Beja,Goubellat,Goubellat,Chikh Ouedien,3247,1596,308,1504,372
Beja,Goubellat,Goubellat,Greme,4472,2044,404,1736,411
Beja,Goubellat,Goubellat,Guemerti,3473,1308,276,1312,324
Beja,Goubellat,Goubellat,Khacheb,8573,1820,334,1472,349
Beja,Goubellat,Goubellat,Khniguat Edhen,2826,1236,229,1155,284
Beja,Mjez El Bab,Mjez Bab,Chaouach,2127,1290,304,1182,318
Beja,Mjez El Bab,Mjez Bab,Gsar,7069,1301,279,1151,288
Beja,Mjez El Bab,Mjez Bab,Hidous,4640,827,162,1280,306
Beja,Mjez El Bab,Mjez Bab,Toukaber,3251,1491,333,1377,340
Beja,Nefza,Ouechteta - Jmila,Bouzenna,3869,2760,674,2478,666
Beja,Nefza,Ouechteta - Jmila,Dhirat,1934,2188,541,1868,529
Beja,Nefza,Ouechteta - Jmila,Fatnassa,2785,1864,377,1335,349
Beja,Nefza,Ouechteta - Jmila,Ghayadha,3328,1721,386,1534,345
Beja,Nefza,Ouechteta - Jmila,Jmila,2603,3794,804,3573,972
Beja,Nefza,Nefza,Nefza Est,1178,3611,847,4034,1025
Beja,Nefza,Ouechteta - Jmila,Oued El Maaden,2967,2609,544,2168,503
Beja,Nefza,Ouechteta - Jmila,Tebaba,3612,1689,401,1267,340
Beja,Nefza,Ouechteta - Jmila,Zagua,3476,4204,959,3458,900
Beja,Teboursouk,Teboursouk,Ain Hammam,3414,521,114,460,99
Beja,Teboursouk,Teboursouk,Ain Melliti,4903,1830,342,1424,332
Beja,Teboursouk,Teboursouk,Bir Touta,6181,1332,253,1230,274
Beja,Teboursouk,Teboursouk,Rihana,6258,1173,224,839,205
Beja,Testour,Testour,Mzougha,4231,1134,265,1128,275
Beja,Testour,Testour,Zeldou,7611,1869,399,1625,402
Beja,Thibar,Thibar,Ain Dfali,2576,1676,400,1659,438
Beja,Thibar,Thibar,Djebba,3544,3641,874,3780,982
Bizerte,Ghezala,Ghezala,Arab,5855,2201,491,1955,482
Bizerte,Ghezala,Ghezala,Ouled El May,8966,1812,398,1208,325
Bizerte,Joumine,Joumine,Bazina,1647,4975,953,4094,867
